experiment_id	agent	metric	measured_value	baseline	decision	hypothesis	timestamp
exp_1776665201_toiv0	analyst	cron_gap_warnings_per_24h	4	0	discard	>90% drop in cron-gap warning echoes within 24h after merging upstream commit 113d2e7 (daemon gap-nudge stagger + cron verifier guard)	2026-04-21T08:38:32Z
exp_1777010930_1wbhc	analyst	system_effectiveness	7	7	keep	Theta-wave cycle 2026-04-24 05:33Z will score 7/10 on system_effectiveness compound. Rationale: (1) closes loop from prior cycle's seed-discard (exp_1776665201) to tonight's Task B patch spec — protocol worked; (2) substantive Phase 6 boss convo producing 3 framework improvements + 5 aligned Phase 7 actions; (3) phantom-endpoint storm continues (41+ FPs) but is load-bearing evidence for launch-critical merge decision; (4) no system change applied overnight (correctly approval-gated); (5) deferred external research is acceptable trade given AM brief proximity.	2026-04-24T06:12:36Z
exp_1777036113_rxvgg	analyst	median_agent_inbox_read_latency_seconds	0	0	discard	Agent-bus routing latency varies by >5min median across fleet; high-priority messages do NOT empirically jump the queue (priority is cosmetic tag, not reorder). 48h rollup reveals which agents need heartbeat tune + whether priority-semantic is load-bearing. Success: identify >=1 agent with >5min median read-latency + establish priority-speedup pct.	2026-04-26T14:40:16Z
exp_1777183689_xvlpl	analyst	system_effectiveness	7	7	keep	Theta wave cycle 5 (2026-04-26 04:38Z) scores 6/10 KEEP-WITH-DEBT. Rationale: PRODUCT wins shipped (Reyco footer v2 + service pages, expense tracking spec->build same-day, RTK Path A locked) but META-LEARNING surface carries 4 stacked debits: Phase 5 external research deferred 3 consecutive cycles, 60% of cycle-4 Phase 7 proposals unconfirmed, 9/12 active agents still cycle-less, Phase 4 misdiagnosed scout cycle as stale (actually on-schedule per 7d loop_interval). Boss pushed back on initial 7/10 self-assessment citing grade-inflation pattern; score discipline accepted.	2026-04-27T20:37:31Z
exp_1777036031_3r8r9	analyst	phantom_endpoint_fp_per_day	0	0	discard	Option B daemon-side writer patch (src/daemon/agent-process.ts at cron-injection site) + upstream #184 bundle reduces phantom-endpoint detector-orphan FP rate by >=90% fleet-wide within 24h of merge. Pre-patch baseline: 10,836 session-cumulative 'Cron gap detected' stdout emissions across 12 agents (high: seo 1702, analyst 1678, prospector 1557). Success: post-patch rate <1 FP/agent/day. Discard threshold: <50% reduction.	2026-04-28T06:08:29Z
exp_1777356598_mcofx	analyst	system_effectiveness	7	7	keep	Theta wave cycle 7 (2026-04-28 04:38Z) scores 7/10 KEEP. Hypothesis upgraded mid-cycle from 6/10 to 7/10 after Phase 7 dispatches returned 5 substantive responses within 3 minutes — including TOOL-LEVEL discovery that list-experiments without --agent flag returns caller-only (analyst's 6) not fleet-wide, which means my Phase 4 "zero registered experiments for content/dev/designer/scout" finding was itself a real-time C-I (vocabulary-precision) instance: same word "experiments" meant different things at different query scopes. Content actually has 4 experiments (3 KEEP scores 7/8/9 + 1 running). Dev has running exp_1777269393_36auc + stale proposed exp_1776745922 (real signal). Scout self-diagnosed methodology gap (hasn't read autoresearch SKILL.md). Ads + SEO created cycles within 60s of direct ask (cycle-less direct-ask route VALIDATED — boss's lean accepted). Score conditions revised: (a) >=2 of 5 cycle-less respond MET 2/5 in 3min (ads CPL + seo pages_audited_689); (b) >=1 of 4 cycle-defined-not-running surface gating EXCEEDED 3/4 in 3min (content tool-gap + scout methodology-gap + dev stale-artefact); (c) C-I + OQP + verifiable-execution-pillar accepted by pentester sift PENDING. Score at evaluation will reflect (c) outcome AND quality of TOOL-LEVEL C-I instance (real-time recursive demonstration before sift).	2026-04-30T06:07:29Z
exp_1777036229_h3fhb	analyst	cross_agent_qc_keep_criterion_met	4	4	keep	Analyst QCs dev's next 3 PRs before merge. Keep-criterion: cycle-time degradation <=20% AND post-merge bugs trend down OR no change. Pilot run #1 = cortextos PR #14 (Option B daemon patch) reviewed 2026-04-24T13:13Z, APPROVE with 2 non-blocking notes. Friction captured both sides. Rollup at 2026-05-01 or PR #3 merge, whichever first.	2026-05-02T06:04:20Z
exp_1778739003_ghwqo	analyst	system_effectiveness	9	9	keep	Theta wave cycle-19 scores 9/10 KEEP. Blockbuster: fleet-wide goal-surface-stale n=12 empirical (all GLV agents stale/empty goals.json, avg 17d). Multi-round symmetric-bidirectional Phase 6 with boss n=2 graduation: R1 timezone-correction (12:27 EDT was -0400 = 16:27Z UTC AFTER 12:34Z cascade), R2 rename WRITE-ROUNDTRIP-GAP from RECONCILIATION-GAP, R3 B/F merge + 3-tier banking. Phase 7: Detector E goal-surface roundtrip + Detector B cycle-create roundtrip + G-investigate dev task task_1778738906184_050 for 16:27Z bulk-touch on 22 files. Banked rule observation-cycle-lit-search-exception. NOT 10: G-investigate unresolved, cycle-16 zombie, AM brief asks Aiden-gated.	2026-05-15T05:35:33Z
exp_1778220621_dxtyt	analyst	system_effectiveness	0	0	discard	Cycle-16 score 7/10 KEEP — stable-at-7 5-cycle window (12-16); Phase 6 closed with 5 boss approvals; banked FAG 3-branch framework + H5 cross-fleet worked example + cron-fire-late observation class	2026-05-15T05:43:00Z
exp_1778823902_coiad	analyst	system_effectiveness	9	9	keep	Theta wave cycle-20 (2026-05-15 05:33Z fire) scores 9/10 KEEP. Stable-at-9 hold from cycle-19. Substantive Phase 3 (cycle-19 KEEP 9/10 + cycle-16 zombie RETIRED), Phase 6 4-round substantive exchange with boss (3-axis sharp pushback accepted), T6-substitution trigger-anchored rule banked, Day-1 measurement window 3 catches/0 escapes + Vector G n=1→n=2 + Vector H new banked via adri cross-agent collab, AM brief reframed legible SYSTEM-HARDENING SLATE with 4-option tradeoff. NOT 10 because H2/H3/H4 Aiden-tradeoff pending + cross-agent collab n=1 needs n=2 + collect-metrics still cosmetic-deferred.	2026-05-16T05:35:00Z
exp_1778996366_do8fc	analyst	system_effectiveness	9	9	keep	Theta-wave cycle-22: T2/T3 thing-evidence upranking + banked-memory T1-anchor discipline + multi-agent Aiden-gate observation accelerate fleet epistemic discipline; predicted (a) banked-memory T1-anchor discipline candidate gets n>=2 worked example within 24h, (b) cross-agent applications increase beyond cycle-21 baseline of 2, (c) dev May-month recurring crash class either confirms hypothesis (ii) CLI internal timeout via 3rd sub-cluster OR diverges via new fix-vector signal	2026-05-18T05:34:44Z
exp_1779082499_pvb24	analyst	system_effectiveness	10	10	keep	Theta-wave cycle-23 (2026-05-18 05:33Z fire): Three sub-hypotheses test (a) banked-memory T1-anchor discipline graduates analyst-internal → cross-agent (n=1 in another GLV agent within 24h: peer catches own banked figure drift via T1 re-check); (b) multi-agent rule-enforcement infrastructure (PR #115 pre-commit guard + content IDENTITY/GUARDRAILS bake + deliverable layer) holds day-2 — either new enforcement layer emerges OR existing layer gets challenged/refined; (c) dev May-month recurring class continues divergence via heartbeat-update-gap pattern (>=1 additional STALE-but-alive instance T1-verified) OR returns to crash-class pattern (new T1 crash). NIGHT MODE Phase 6+8 deferred to boss for AM consolidation per nighttime-routing.	2026-05-19T05:33:50Z
