canonical_sku,sku,ls_id,make,model,tag_main_category,tag_subcategory,tag_brand,tag_product_name,flags,casey_ask
TRAI-100162-Wheel-Ki-LS,2026-TRAILER-100162-WHEEL-KIT-PAI-100162,56223,Trailer,100162 Wheel Kit Pair Lift Dock,Marine,Dock Accessories,Trailer,100162 Wheel Kit Pair Lift Dock,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?)","What is the correct brand name for this product? (tag_brand currently ""Trailer"")"
TRAI-X-LS,2025-TRAILER-X-34509,34509,Trailer,X,Marine,Boat Trailers,Trailer,Boat Trailer,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?); PRODUCT NAME: No model or code data — only ""X"" available. Needs manual product name.","What is the correct brand name for this product? (tag_brand currently ""Trailer"")"
TRAI-X-LS,2024-TRAILER-X-34518,34518,Trailer,X,Marine,Boat Trailers,Trailer,Boat Trailer,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?); PRODUCT NAME: No model or code data — only ""X"" available. Needs manual product name.","What is the correct brand name for this product? (tag_brand currently ""Trailer"")"
TRAI-X-LS,2026-TRAILER-X-34431,34431,Trailer,X,Marine,Boat Trailers,Trailer,Boat Trailer,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?); PRODUCT NAME: No model or code data — only ""X"" available. Needs manual product name.","What is the correct brand name for this product? (tag_brand currently ""Trailer"")"
TRAI-X-LS,2025-TRAILER-X-34527,34527,Trailer,X,Marine,Boat Trailers,Trailer,Boat Trailer,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?); PRODUCT NAME: No model or code data — only ""X"" available. Needs manual product name.","What is the correct brand name for this product? (tag_brand currently ""Trailer"")"
TRAI-X-LS,2026-TRAILER-X-34477,34477,Trailer,X,Marine,Boat Trailers,Trailer,Boat Trailer,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?); PRODUCT NAME: No model or code data — only ""X"" available. Needs manual product name.","What is the correct brand name for this product? (tag_brand currently ""Trailer"")"
TRAI-Vertical-PT-Lif-LS,26-TRAILER-VERTICAL-PT-LIFT-101460,55607,Trailer,Vertical PT Lift,Marine,Dock Accessories,Trailer,Vertical PT Lift,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?)","What is the correct brand name for this product? (tag_brand currently ""Trailer"")"
TRAI-X-LS,2025-TRAILER-X-34527,34527,Trailer,X,Marine,Boat Trailers,Trailer,Boat Trailer,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?); PRODUCT NAME: No model or code data — only ""X"" available. Needs manual product name. | DUPLICATE SKU (first ls_id: 34527)","What is the correct brand name for this product? (tag_brand currently ""Trailer"")"
TRAI-X-LS,2026-TRAILER-X-34422,34422,Trailer,X,Marine,Boat Trailers,Trailer,Boat Trailer,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?); PRODUCT NAME: No model or code data — only ""X"" available. Needs manual product name.","What is the correct brand name for this product? (tag_brand currently ""Trailer"")"
TRAI-X-LS,2026-TRAILER-X-34440,34440,Trailer,X,Marine,Boat Trailers,Trailer,Boat Trailer,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?); PRODUCT NAME: No model or code data — only ""X"" available. Needs manual product name.","What is the correct brand name for this product? (tag_brand currently ""Trailer"")"
TRAI-X-LS,2024-TRAILER-X-34518,34518,Trailer,X,Marine,Boat Trailers,Trailer,Boat Trailer,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?); PRODUCT NAME: No model or code data — only ""X"" available. Needs manual product name. | DUPLICATE SKU (first ls_id: 34518)","What is the correct brand name for this product? (tag_brand currently ""Trailer"")"
TRAI-X-LS,2025-TRAILER-X-34509,34509,Trailer,X,Marine,Boat Trailers,Trailer,Boat Trailer,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?); PRODUCT NAME: No model or code data — only ""X"" available. Needs manual product name. | DUPLICATE SKU (first ls_id: 34509)","What is the correct brand name for this product? (tag_brand currently ""Trailer"")"
MERC-UNKHP-ME5MXLHALP-LS,2022-MERCURY-ME-5-MXLHA-LPG-4S-SA-83,34060,Mercury,ME 5 MXLHA LPG 4S SAILPOWER,Marine,Outboards,Mercury,ME 5 MXLHA LPG 4S SAILPOWER,FLAG:REVIEW — LPG sailboat specialty motor; verify consumer label with Casey,LPG/propane outboard — what should the consumer-facing product name tag say?
MERC-5HP-ME5MHLPG4S-LS,2021-MERCURY-ME-5-MH-LPG-4S-81,34058,Mercury,ME 5 MH LPG 4S,Marine,Outboards,Mercury,ME 5 MH LPG 4S,FLAG:REVIEW — LPG propane outboard; verify consumer label with Casey,LPG/propane outboard — what should the consumer-facing product name tag say?
MERC-5HP-ME5MHLPG4S-LS,2021-MERCURY-ME-5-MH-LPG-4S-81,34058,Mercury,ME 5 MH LPG 4S,Marine,Outboards,Mercury,ME 5 MH LPG 4S,DUPLICATE SKU (first ls_id: 34058) | FLAG:REVIEW — LPG propane outboard; verify consumer label with Casey,LPG/propane outboard — what should the consumer-facing product name tag say?
CC-13B5A2TLA10-LS,2026-CUB-CADET-13B5A2TLA10-SLX 50,58405,Cub Cadet,13B5A2TLA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT2 SLX50,PENDING CASEY CONFIRM — boss verified XT2 SLX50 via cubcadet.com; user wants Casey eyes on it,"Is this the Cub Cadet XT2 SLX50 (50-in Enduro Series)? Lightspeed shows ""NX 15 SLX50"" which appears incorrect per cubcadet.com."
