sku,product_title,brand,image_num,image_url,image_type,source
MK-TER80-26,Minnkota Terrova 80,Minn Kota,1,https://johnsonoutdoors.widen.net/content/k3fqzoosr0/webp/MK_Terrova_QUEST_HeroAlt.webp,hero,widen-cdn
MK-TER80-26,Minnkota Terrova 80,Minn Kota,2,https://johnsonoutdoors.widen.net/content/pxgl7hzhul/webp/MK_1358210_Terrova_QUEST_Profile.webp,studio,widen-cdn
MK-TER80-26,Minnkota Terrova 80,Minn Kota,3,https://johnsonoutdoors.widen.net/content/ecuigqdjtb/webp/MK_Terrova_QUEST_FullStow.webp,studio,widen-cdn
MK-TER80-26,Minnkota Terrova 80,Minn Kota,4,https://johnsonoutdoors.widen.net/content/mz3654ihyd/webp/MK_Terrova_QUEST_ControlHeadV2.webp,detail,widen-cdn
MK-TER80-26,Minnkota Terrova 80,Minn Kota,5,https://johnsonoutdoors.widen.net/content/qkyolcbrpi/webp/MK_Terrova_QUEST_SteeringHousing.webp,detail,widen-cdn
MK-TER80-26,Minnkota Terrova 80,Minn Kota,6,https://johnsonoutdoors.widen.net/content/3isyploh4b/webp/MK_Terrova_QUEST_DepthCollarOpen.webp,detail,widen-cdn
MK-TER80-26,Minnkota Terrova 80,Minn Kota,7,https://johnsonoutdoors.widen.net/content/svvqazxpjo/webp/MK_Terrova_QUEST_DeployLeverDetail2.webp,detail,widen-cdn
MK-TER80-26,Minnkota Terrova 80,Minn Kota,8,https://johnsonoutdoors.widen.net/content/ym2opsw12u/webp/MK_Terrova_QUEST_DeployLeverDetail1.webp,detail,widen-cdn
MK-TER80-26,Minnkota Terrova 80,Minn Kota,9,https://johnsonoutdoors.widen.net/content/iuqkohuhl4/webp/MK_Terrova_QUEST_DepthCollarClosed.webp,detail,widen-cdn
MK-TER80-26,Minnkota Terrova 80,Minn Kota,10,https://johnsonoutdoors.widen.net/content/yjuivfmfdj/webp/MK_Terrova_Lifestyle1_square.webp,lifestyle,widen-cdn
MK-TER80-26,Minnkota Terrova 80,Minn Kota,11,https://johnsonoutdoors.widen.net/content/1gkgndqcjx/webp/MK_Terrova_Lifestyle2_square.webp,lifestyle,widen-cdn
MK-ULT80-45-26,Minn Kota Ultrex 80 lb — 45 Shaft,Minn Kota,1,https://johnsonoutdoors.widen.net/content/panck07gjo/webp/MK_Ultrex_QUEST_HeroAlt.webp,hero,widen-cdn
MK-ULT80-45-26,Minn Kota Ultrex 80 lb — 45 Shaft,Minn Kota,2,https://johnsonoutdoors.widen.net/content/rcpvkse4gb/webp/MK_1368900_Ultrex_QUEST_Profile.webp,studio,widen-cdn
MK-ULT80-45-26,Minn Kota Ultrex 80 lb — 45 Shaft,Minn Kota,3,https://johnsonoutdoors.widen.net/content/me2o5pelpw/webp/MK_Ultrex_QUEST_MotorAssemblyRemoval.webp,studio,widen-cdn
MK-ULT80-45-26,Minn Kota Ultrex 80 lb — 45 Shaft,Minn Kota,4,https://johnsonoutdoors.widen.net/content/tu65xnwu1y/webp/MK_Ultrex_QUEST_FullStow.webp,studio,widen-cdn
MK-ULT80-45-26,Minn Kota Ultrex 80 lb — 45 Shaft,Minn Kota,5,https://johnsonoutdoors.widen.net/content/suv5xkjzlw/webp/MK_Ultrex_QUEST_ControlHeadV2.webp,detail,widen-cdn
MK-ULT80-45-26,Minn Kota Ultrex 80 lb — 45 Shaft,Minn Kota,6,https://johnsonoutdoors.widen.net/content/ajetggxsne/webp/MK_Ultrex_QUEST_SteeringHousing.webp,detail,widen-cdn
MK-ULT80-45-26,Minn Kota Ultrex 80 lb — 45 Shaft,Minn Kota,7,https://johnsonoutdoors.widen.net/content/seq9dymab4/webp/MK_Ultrex_QUEST_LiftAssist.webp,detail,widen-cdn
MK-ULT80-45-26,Minn Kota Ultrex 80 lb — 45 Shaft,Minn Kota,8,https://johnsonoutdoors.widen.net/content/4hfggg5iq/webp/MK_Ultrex_QUEST_DepthCollarClosed.webp,detail,widen-cdn
MK-ULT80-45-26,Minn Kota Ultrex 80 lb — 45 Shaft,Minn Kota,9,https://johnsonoutdoors.widen.net/content/gfifd5zjvq/webp/MK_Ultrex_QUEST_DepthCollarOpen.webp,detail,widen-cdn
MK-ULT80-45-26,Minn Kota Ultrex 80 lb — 45 Shaft,Minn Kota,10,https://johnsonoutdoors.widen.net/content/pscfhio92m/webp/MK_Ultrex_QUEST_Strap.webp,detail,widen-cdn
MK-ULT80-45-26,Minn Kota Ultrex 80 lb — 45 Shaft,Minn Kota,11,https://johnsonoutdoors.widen.net/content/kyrxqsbqwf/webp/MK_Ultrex_Lifestyle2_square.webp,lifestyle,widen-cdn
MK-ULT80-45-26,Minn Kota Ultrex 80 lb — 45 Shaft,Minn Kota,12,https://johnsonoutdoors.widen.net/content/1vmi7dz1bv/webp/MK_Ultrex_Lifestyle1_square.webp,lifestyle,widen-cdn
MK-ULT80-52-26,Minn Kota Ultrex 80 lb — 52 Shaft,Minn Kota,1,https://johnsonoutdoors.widen.net/content/panck07gjo/webp/MK_Ultrex_QUEST_HeroAlt.webp,hero,widen-cdn
MK-ULT80-52-26,Minn Kota Ultrex 80 lb — 52 Shaft,Minn Kota,2,https://johnsonoutdoors.widen.net/content/rcpvkse4gb/webp/MK_1368900_Ultrex_QUEST_Profile.webp,studio,widen-cdn
MK-ULT80-52-26,Minn Kota Ultrex 80 lb — 52 Shaft,Minn Kota,3,https://johnsonoutdoors.widen.net/content/me2o5pelpw/webp/MK_Ultrex_QUEST_MotorAssemblyRemoval.webp,studio,widen-cdn
MK-ULT80-52-26,Minn Kota Ultrex 80 lb — 52 Shaft,Minn Kota,4,https://johnsonoutdoors.widen.net/content/tu65xnwu1y/webp/MK_Ultrex_QUEST_FullStow.webp,studio,widen-cdn
MK-ULT80-52-26,Minn Kota Ultrex 80 lb — 52 Shaft,Minn Kota,5,https://johnsonoutdoors.widen.net/content/suv5xkjzlw/webp/MK_Ultrex_QUEST_ControlHeadV2.webp,detail,widen-cdn
MK-ULT80-52-26,Minn Kota Ultrex 80 lb — 52 Shaft,Minn Kota,6,https://johnsonoutdoors.widen.net/content/ajetggxsne/webp/MK_Ultrex_QUEST_SteeringHousing.webp,detail,widen-cdn
MK-ULT80-52-26,Minn Kota Ultrex 80 lb — 52 Shaft,Minn Kota,7,https://johnsonoutdoors.widen.net/content/seq9dymab4/webp/MK_Ultrex_QUEST_LiftAssist.webp,detail,widen-cdn
MK-ULT80-52-26,Minn Kota Ultrex 80 lb — 52 Shaft,Minn Kota,8,https://johnsonoutdoors.widen.net/content/4hfggg5iq/webp/MK_Ultrex_QUEST_DepthCollarClosed.webp,detail,widen-cdn
MK-ULT80-52-26,Minn Kota Ultrex 80 lb — 52 Shaft,Minn Kota,9,https://johnsonoutdoors.widen.net/content/gfifd5zjvq/webp/MK_Ultrex_QUEST_DepthCollarOpen.webp,detail,widen-cdn
MK-ULT80-52-26,Minn Kota Ultrex 80 lb — 52 Shaft,Minn Kota,10,https://johnsonoutdoors.widen.net/content/pscfhio92m/webp/MK_Ultrex_QUEST_Strap.webp,detail,widen-cdn
MK-ULT80-52-26,Minn Kota Ultrex 80 lb — 52 Shaft,Minn Kota,11,https://johnsonoutdoors.widen.net/content/kyrxqsbqwf/webp/MK_Ultrex_Lifestyle2_square.webp,lifestyle,widen-cdn
MK-ULT80-52-26,Minn Kota Ultrex 80 lb — 52 Shaft,Minn Kota,12,https://johnsonoutdoors.widen.net/content/1vmi7dz1bv/webp/MK_Ultrex_Lifestyle1_square.webp,lifestyle,widen-cdn
MK-ULTQUEST9115-45-26,Minn Kota Ultrex QUEST 90/115 lb,Minn Kota,1,https://johnsonoutdoors.widen.net/content/panck07gjo/webp/MK_Ultrex_QUEST_HeroAlt.webp,hero,widen-cdn
MK-ULTQUEST9115-45-26,Minn Kota Ultrex QUEST 90/115 lb,Minn Kota,2,https://johnsonoutdoors.widen.net/content/rcpvkse4gb/webp/MK_1368900_Ultrex_QUEST_Profile.webp,studio,widen-cdn
MK-ULTQUEST9115-45-26,Minn Kota Ultrex QUEST 90/115 lb,Minn Kota,3,https://johnsonoutdoors.widen.net/content/me2o5pelpw/webp/MK_Ultrex_QUEST_MotorAssemblyRemoval.webp,studio,widen-cdn
MK-ULTQUEST9115-45-26,Minn Kota Ultrex QUEST 90/115 lb,Minn Kota,4,https://johnsonoutdoors.widen.net/content/tu65xnwu1y/webp/MK_Ultrex_QUEST_FullStow.webp,studio,widen-cdn
MK-ULTQUEST9115-45-26,Minn Kota Ultrex QUEST 90/115 lb,Minn Kota,5,https://johnsonoutdoors.widen.net/content/suv5xkjzlw/webp/MK_Ultrex_QUEST_ControlHeadV2.webp,detail,widen-cdn
MK-ULTQUEST9115-45-26,Minn Kota Ultrex QUEST 90/115 lb,Minn Kota,6,https://johnsonoutdoors.widen.net/content/ajetggxsne/webp/MK_Ultrex_QUEST_SteeringHousing.webp,detail,widen-cdn
MK-ULTQUEST9115-45-26,Minn Kota Ultrex QUEST 90/115 lb,Minn Kota,7,https://johnsonoutdoors.widen.net/content/seq9dymab4/webp/MK_Ultrex_QUEST_LiftAssist.webp,detail,widen-cdn
MK-ULTQUEST9115-45-26,Minn Kota Ultrex QUEST 90/115 lb,Minn Kota,8,https://johnsonoutdoors.widen.net/content/4hfggg5iq/webp/MK_Ultrex_QUEST_DepthCollarClosed.webp,detail,widen-cdn
MK-ULTQUEST9115-45-26,Minn Kota Ultrex QUEST 90/115 lb,Minn Kota,9,https://johnsonoutdoors.widen.net/content/gfifd5zjvq/webp/MK_Ultrex_QUEST_DepthCollarOpen.webp,detail,widen-cdn
MK-ULTQUEST9115-45-26,Minn Kota Ultrex QUEST 90/115 lb,Minn Kota,10,https://johnsonoutdoors.widen.net/content/pscfhio92m/webp/MK_Ultrex_QUEST_Strap.webp,detail,widen-cdn
MK-ULTQUEST9115-45-26,Minn Kota Ultrex QUEST 90/115 lb,Minn Kota,11,https://johnsonoutdoors.widen.net/content/kyrxqsbqwf/webp/MK_Ultrex_Lifestyle2_square.webp,lifestyle,widen-cdn
MK-ULTQUEST9115-45-26,Minn Kota Ultrex QUEST 90/115 lb,Minn Kota,12,https://johnsonoutdoors.widen.net/content/1vmi7dz1bv/webp/MK_Ultrex_Lifestyle1_square.webp,lifestyle,widen-cdn
MK-RTQUEST9115-72-26,Minn Kota Riptide Terrova QUEST 90/115 — 72,Minn Kota,1,https://johnsonoutdoors.widen.net/content/esb89bkugo/webp/MK_RiptideTerrova_QUEST_HeroAlt.webp,hero,widen-cdn
MK-RTQUEST9115-72-26,Minn Kota Riptide Terrova QUEST 90/115 — 72,Minn Kota,2,https://johnsonoutdoors.widen.net/content/guuprkoij9/webp/MK_1363902_RiptideTerrova_QUEST_Profile.webp,studio,widen-cdn
MK-RTQUEST9115-72-26,Minn Kota Riptide Terrova QUEST 90/115 — 72,Minn Kota,3,https://johnsonoutdoors.widen.net/content/snultqtqk2/webp/MK_RiptideTerrova_QUEST_ControlHeadV2.webp,detail,widen-cdn
MK-RTQUEST9115-72-26,Minn Kota Riptide Terrova QUEST 90/115 — 72,Minn Kota,4,https://johnsonoutdoors.widen.net/content/iwthyay431/webp/MK_RiptideTerrova_QUEST_SteeringHousing.webp,detail,widen-cdn
MK-RTQUEST9115-72-26,Minn Kota Riptide Terrova QUEST 90/115 — 72,Minn Kota,5,https://johnsonoutdoors.widen.net/content/xpjumy2nmt/webp/MK_RiptideTerrova_QUEST_FullStow.webp,studio,widen-cdn
MK-RTQUEST9115-72-26,Minn Kota Riptide Terrova QUEST 90/115 — 72,Minn Kota,6,https://johnsonoutdoors.widen.net/content/rmihpk8w51/webp/MK_RiptideTerrova_QUEST_DeployLeverDetail1.webp,detail,widen-cdn
MK-RTQUEST9115-72-26,Minn Kota Riptide Terrova QUEST 90/115 — 72,Minn Kota,7,https://johnsonoutdoors.widen.net/content/kmfg5ltigz/webp/MK_RiptideTerrova_QUEST_DeployLeverDetail2.webp,detail,widen-cdn
MK-RTQUEST9115-72-26,Minn Kota Riptide Terrova QUEST 90/115 — 72,Minn Kota,8,https://johnsonoutdoors.widen.net/content/w9yhfatfpj/webp/MK_RiptideTerrova_QUEST_DepthCollarClosed.webp,detail,widen-cdn
MK-RTQUEST9115-72-26,Minn Kota Riptide Terrova QUEST 90/115 — 72,Minn Kota,9,https://johnsonoutdoors.widen.net/content/s4ewfdrons/webp/MK_RiptideTerrova_QUEST_DepthCollarOpen.webp,detail,widen-cdn
MK-RTQUEST9115-72-26,Minn Kota Riptide Terrova QUEST 90/115 — 72,Minn Kota,10,https://johnsonoutdoors.widen.net/content/ox2hbwu8sl/webp/MK_Riptide_Terrova_Lifestyle_1_square.webp,lifestyle,widen-cdn
MK-RTQUEST9115-72-26,Minn Kota Riptide Terrova QUEST 90/115 — 72,Minn Kota,11,https://johnsonoutdoors.widen.net/content/troyldrmjf/webp/MK_Riptide_Terrova_Lifestyle_2_square.webp,lifestyle,widen-cdn
MK-RTQUEST9115-87-26,Minn Kota Riptide Terrova QUEST 90/115 — 87,Minn Kota,1,https://johnsonoutdoors.widen.net/content/esb89bkugo/webp/MK_RiptideTerrova_QUEST_HeroAlt.webp,hero,widen-cdn
MK-RTQUEST9115-87-26,Minn Kota Riptide Terrova QUEST 90/115 — 87,Minn Kota,2,https://johnsonoutdoors.widen.net/content/guuprkoij9/webp/MK_1363902_RiptideTerrova_QUEST_Profile.webp,studio,widen-cdn
MK-RTQUEST9115-87-26,Minn Kota Riptide Terrova QUEST 90/115 — 87,Minn Kota,3,https://johnsonoutdoors.widen.net/content/snultqtqk2/webp/MK_RiptideTerrova_QUEST_ControlHeadV2.webp,detail,widen-cdn
MK-RTQUEST9115-87-26,Minn Kota Riptide Terrova QUEST 90/115 — 87,Minn Kota,4,https://johnsonoutdoors.widen.net/content/iwthyay431/webp/MK_RiptideTerrova_QUEST_SteeringHousing.webp,detail,widen-cdn
MK-RTQUEST9115-87-26,Minn Kota Riptide Terrova QUEST 90/115 — 87,Minn Kota,5,https://johnsonoutdoors.widen.net/content/xpjumy2nmt/webp/MK_RiptideTerrova_QUEST_FullStow.webp,studio,widen-cdn
MK-RTQUEST9115-87-26,Minn Kota Riptide Terrova QUEST 90/115 — 87,Minn Kota,6,https://johnsonoutdoors.widen.net/content/rmihpk8w51/webp/MK_RiptideTerrova_QUEST_DeployLeverDetail1.webp,detail,widen-cdn
MK-RTQUEST9115-87-26,Minn Kota Riptide Terrova QUEST 90/115 — 87,Minn Kota,7,https://johnsonoutdoors.widen.net/content/kmfg5ltigz/webp/MK_RiptideTerrova_QUEST_DeployLeverDetail2.webp,detail,widen-cdn
MK-RTQUEST9115-87-26,Minn Kota Riptide Terrova QUEST 90/115 — 87,Minn Kota,8,https://johnsonoutdoors.widen.net/content/w9yhfatfpj/webp/MK_RiptideTerrova_QUEST_DepthCollarClosed.webp,detail,widen-cdn
MK-RTQUEST9115-87-26,Minn Kota Riptide Terrova QUEST 90/115 — 87,Minn Kota,9,https://johnsonoutdoors.widen.net/content/s4ewfdrons/webp/MK_RiptideTerrova_QUEST_DepthCollarOpen.webp,detail,widen-cdn
MK-RTQUEST9115-87-26,Minn Kota Riptide Terrova QUEST 90/115 — 87,Minn Kota,10,https://johnsonoutdoors.widen.net/content/ox2hbwu8sl/webp/MK_Riptide_Terrova_Lifestyle_1_square.webp,lifestyle,widen-cdn
MK-RTQUEST9115-87-26,Minn Kota Riptide Terrova QUEST 90/115 — 87,Minn Kota,11,https://johnsonoutdoors.widen.net/content/troyldrmjf/webp/MK_Riptide_Terrova_Lifestyle_2_square.webp,lifestyle,widen-cdn
MK-RTQUEST9115-100-26,Minn Kota Riptide Terrova QUEST 90/115 — 100,Minn Kota,1,https://johnsonoutdoors.widen.net/content/esb89bkugo/webp/MK_RiptideTerrova_QUEST_HeroAlt.webp,hero,widen-cdn
MK-RTQUEST9115-100-26,Minn Kota Riptide Terrova QUEST 90/115 — 100,Minn Kota,2,https://johnsonoutdoors.widen.net/content/guuprkoij9/webp/MK_1363902_RiptideTerrova_QUEST_Profile.webp,studio,widen-cdn
MK-RTQUEST9115-100-26,Minn Kota Riptide Terrova QUEST 90/115 — 100,Minn Kota,3,https://johnsonoutdoors.widen.net/content/snultqtqk2/webp/MK_RiptideTerrova_QUEST_ControlHeadV2.webp,detail,widen-cdn
MK-RTQUEST9115-100-26,Minn Kota Riptide Terrova QUEST 90/115 — 100,Minn Kota,4,https://johnsonoutdoors.widen.net/content/iwthyay431/webp/MK_RiptideTerrova_QUEST_SteeringHousing.webp,detail,widen-cdn
MK-RTQUEST9115-100-26,Minn Kota Riptide Terrova QUEST 90/115 — 100,Minn Kota,5,https://johnsonoutdoors.widen.net/content/xpjumy2nmt/webp/MK_RiptideTerrova_QUEST_FullStow.webp,studio,widen-cdn
MK-RTQUEST9115-100-26,Minn Kota Riptide Terrova QUEST 90/115 — 100,Minn Kota,6,https://johnsonoutdoors.widen.net/content/rmihpk8w51/webp/MK_RiptideTerrova_QUEST_DeployLeverDetail1.webp,detail,widen-cdn
MK-RTQUEST9115-100-26,Minn Kota Riptide Terrova QUEST 90/115 — 100,Minn Kota,7,https://johnsonoutdoors.widen.net/content/kmfg5ltigz/webp/MK_RiptideTerrova_QUEST_DeployLeverDetail2.webp,detail,widen-cdn
MK-RTQUEST9115-100-26,Minn Kota Riptide Terrova QUEST 90/115 — 100,Minn Kota,8,https://johnsonoutdoors.widen.net/content/w9yhfatfpj/webp/MK_RiptideTerrova_QUEST_DepthCollarClosed.webp,detail,widen-cdn
MK-RTQUEST9115-100-26,Minn Kota Riptide Terrova QUEST 90/115 — 100,Minn Kota,9,https://johnsonoutdoors.widen.net/content/s4ewfdrons/webp/MK_RiptideTerrova_QUEST_DepthCollarOpen.webp,detail,widen-cdn
MK-RTQUEST9115-100-26,Minn Kota Riptide Terrova QUEST 90/115 — 100,Minn Kota,10,https://johnsonoutdoors.widen.net/content/ox2hbwu8sl/webp/MK_Riptide_Terrova_Lifestyle_1_square.webp,lifestyle,widen-cdn
MK-RTQUEST9115-100-26,Minn Kota Riptide Terrova QUEST 90/115 — 100,Minn Kota,11,https://johnsonoutdoors.widen.net/content/troyldrmjf/webp/MK_Riptide_Terrova_Lifestyle_2_square.webp,lifestyle,widen-cdn
MK-RT112-87-26,Minn Kota Riptide Terrova 112 lb — 87 Shaft,Minn Kota,1,https://johnsonoutdoors.widen.net/content/esb89bkugo/webp/MK_RiptideTerrova_QUEST_HeroAlt.webp,hero,widen-cdn
MK-RT112-87-26,Minn Kota Riptide Terrova 112 lb — 87 Shaft,Minn Kota,2,https://johnsonoutdoors.widen.net/content/guuprkoij9/webp/MK_1363902_RiptideTerrova_QUEST_Profile.webp,studio,widen-cdn
MK-RT112-87-26,Minn Kota Riptide Terrova 112 lb — 87 Shaft,Minn Kota,3,https://johnsonoutdoors.widen.net/content/snultqtqk2/webp/MK_RiptideTerrova_QUEST_ControlHeadV2.webp,detail,widen-cdn
MK-RT112-87-26,Minn Kota Riptide Terrova 112 lb — 87 Shaft,Minn Kota,4,https://johnsonoutdoors.widen.net/content/iwthyay431/webp/MK_RiptideTerrova_QUEST_SteeringHousing.webp,detail,widen-cdn
MK-RT112-87-26,Minn Kota Riptide Terrova 112 lb — 87 Shaft,Minn Kota,5,https://johnsonoutdoors.widen.net/content/xpjumy2nmt/webp/MK_RiptideTerrova_QUEST_FullStow.webp,studio,widen-cdn
MK-RT112-87-26,Minn Kota Riptide Terrova 112 lb — 87 Shaft,Minn Kota,6,https://johnsonoutdoors.widen.net/content/rmihpk8w51/webp/MK_RiptideTerrova_QUEST_DeployLeverDetail1.webp,detail,widen-cdn
MK-RT112-87-26,Minn Kota Riptide Terrova 112 lb — 87 Shaft,Minn Kota,7,https://johnsonoutdoors.widen.net/content/kmfg5ltigz/webp/MK_RiptideTerrova_QUEST_DeployLeverDetail2.webp,detail,widen-cdn
MK-RT112-87-26,Minn Kota Riptide Terrova 112 lb — 87 Shaft,Minn Kota,8,https://johnsonoutdoors.widen.net/content/w9yhfatfpj/webp/MK_RiptideTerrova_QUEST_DepthCollarClosed.webp,detail,widen-cdn
MK-RT112-87-26,Minn Kota Riptide Terrova 112 lb — 87 Shaft,Minn Kota,9,https://johnsonoutdoors.widen.net/content/s4ewfdrons/webp/MK_RiptideTerrova_QUEST_DepthCollarOpen.webp,detail,widen-cdn
MK-RT112-87-26,Minn Kota Riptide Terrova 112 lb — 87 Shaft,Minn Kota,10,https://johnsonoutdoors.widen.net/content/ox2hbwu8sl/webp/MK_Riptide_Terrova_Lifestyle_1_square.webp,lifestyle,widen-cdn
MK-RT112-87-26,Minn Kota Riptide Terrova 112 lb — 87 Shaft,Minn Kota,11,https://johnsonoutdoors.widen.net/content/troyldrmjf/webp/MK_Riptide_Terrova_Lifestyle_2_square.webp,lifestyle,widen-cdn
MK-RT80-60-REFURB,Minn Kota Riptide Terrova 80 lb Refurb — 60,Minn Kota,1,https://johnsonoutdoors.widen.net/content/esb89bkugo/webp/MK_RiptideTerrova_QUEST_HeroAlt.webp,hero,widen-cdn
MK-RT80-60-REFURB,Minn Kota Riptide Terrova 80 lb Refurb — 60,Minn Kota,2,https://johnsonoutdoors.widen.net/content/guuprkoij9/webp/MK_1363902_RiptideTerrova_QUEST_Profile.webp,studio,widen-cdn
