canonical_sku,sku,ls_id,make,model,tag_main_category,tag_subcategory,tag_brand,tag_product_name,flags
TORO-77283-LS,2026-TORO-77283-327,54504,Toro,77283,Power Equipment,Zero Turn Mowers,Toro,77283,
MERC-6HP-ME6MH-LS,2025-MERCURY-ME-6MH-27,33977,Mercury,ME 6MH,Marine,Outboards,Mercury,6 HP Outboard,DUPLICATE SKU (first ls_id: 33977)
MERC-40HP-40ELPT-LS,2026-MERCURY-40-ELPT-34455,34455,Mercury,40 ELPT,Marine,Outboards,Mercury,40 HP Outboard,
MERC-90HP-ME90ELPT4S-LS,26-MERCURY-ME-90ELPT-4S-5995,55835,Mercury,ME 90ELPT 4S,Marine,Outboards,Mercury,90 HP Outboard,DUPLICATE SKU (first ls_id: 55835)
MERC-35HP-ME35MH4STM-LS,2023-MERCURY-ME-3.5MH-4S-TMC-14,33942,Mercury,ME 3.5MH 4S TMC,Marine,Outboards,Mercury,3.5 HP Outboard,DUPLICATE SKU (first ls_id: 33942)
MERC-20HP-ME20MH4S-LS,2025-MERCURY-ME-20-MH-4S-92,34067,Mercury,ME 20 MH 4S,Marine,Outboards,Mercury,20 HP Outboard,
TORO-77404-LS,2026-TORO-77404-325,54502,Toro,77404,Power Equipment,Zero Turn Mowers,Toro,TIMECUTTER 77404,
MERC-6HP-ME6MH-LS,2025-MERCURY-ME-6MH-20,33958,Mercury,ME 6MH,Marine,Outboards,Mercury,6 HP Outboard,DUPLICATE SKU (first ls_id: 33958)
MERC-8HP-ME8EH4S-LS,2024-MERCURY-ME-8EH-4S-39,34005,Mercury,ME 8EH 4S,Marine,Outboards,Mercury,8 HP Electric Start Outboard,
MERC-30HP-ME30ELHPTE-LS,2023-MERCURY-ME-30-ELHPT-EFI-4S-109,34103,Mercury,ME 30 ELHPT EFI 4S,Marine,Outboards,Mercury,30 HP Electric Start EFI Outboard,
MERC-25HP-ME25EHEFI4-LS,2024-MERCURY-ME-25-EH-EFI-4S-101,34091,Mercury,ME 25 EH EFI 4S,Marine,Outboards,Mercury,25 HP Electric Start EFI Outboard,
MERC-25HP-ME25MH4STM-LS,2025-MERCURY-ME-2.5MH-4S-TMC-1,33904,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,2.5 HP Outboard,
CC-13AQA1TLA10-LS,2026-CUB-CADET-13AQA1TLA10-13AQA1TLA10,57800,Cub Cadet,13AQA1TLA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT1 LT50,
CC-13APA1TEA10-LS,2026-CUB-CADET-13APA1TEA10-13APA1TEA10,57675,Cub Cadet,13APA1TEA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT2 LX42,DUPLICATE SKU (first ls_id: 57675)
MERC-25HP-ME25MH4STM-LS,2021-MERCURY-ME-2.5MH-4S-TMC-11,33935,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,2.5 HP Outboard,DUPLICATE SKU (first ls_id: 33935)
MERC-6HP-ME6MH-LS,2025-MERCURY-ME-6MH-25,33971,Mercury,ME 6MH,Marine,Outboards,Mercury,6 HP Outboard,DUPLICATE SKU (first ls_id: 33971)
MERC-20HP-ME20MLH4S-LS,2023-MERCURY-ME-20-MLH-4S-59,34055,Mercury,ME 20 MLH 4S,Marine,Outboards,Mercury,20 HP Outboard,DUPLICATE SKU (first ls_id: 34055)
MERC-90HP-90EXLPTCT-LS,2026-MERCURY-90-EXLPT-CT-34462,34462,Mercury,90 EXLPT CT,Marine,Outboards,Mercury,90 HP Command Thrust Outboard,
MERC-30HP-ME30ELHPTE-LS,2023-MERCURY-ME-30-ELHPT-EFI-4S-110,34104,Mercury,ME 30 ELHPT EFI 4S,Marine,Outboards,Mercury,30 HP Electric Start EFI Outboard,DUPLICATE SKU (first ls_id: 34104)
MERC-115HP-115PROXS-LS,2023-MERCURY-115-PRO-XS-34500,34500,Mercury,115 Pro XS,Marine,Outboards,Mercury,115 HP Pro XS Outboard,DUPLICATE SKU (first ls_id: 34500)
CC-13AQA1TLA10-LS,2026-CUB-CADET-13AQA1TLA10-13AQA1TLA10,57698,Cub Cadet,13AQA1TLA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT1 LT50,DUPLICATE SKU (first ls_id: 57800)
MERC-50HP-ME50ELPT4S-LS,2024-MERCURY-ME-50-ELPT-4S-EFI-44,34020,Mercury,ME 50 ELPT 4S EFI,Marine,Outboards,Mercury,50 HP EFI Outboard,DUPLICATE SKU (first ls_id: 34020)
MERC-35HP-ME35MH4STM-LS,2023-MERCURY-ME-3.5MH-4S-TMC-12,33936,Mercury,ME 3.5MH 4S TMC,Marine,Outboards,Mercury,3.5 HP Outboard,
MERC-6HP-ME6MLH-LS,2024-MERCURY-ME-6MLH-19,33955,Mercury,ME 6MLH,Marine,Outboards,Mercury,6 HP Outboard,DUPLICATE SKU (first ls_id: 33955)
MERC-60HP-ME60ELHPTC-LS,2025-MERCURY-ME-60-ELHPT-CT-4S-95,34076,Mercury,ME 60 ELHPT CT 4S,Marine,Outboards,Mercury,60 HP Electric Start Command Thrust Outboard,DUPLICATE SKU (first ls_id: 34076)
MERC-50HP-ME50ELPTCT-LS,2025-MERCURY-ME-50-ELPT-CT-4S-EFI-41,34011,Mercury,ME 50 ELPT CT 4S EFI,Marine,Outboards,Mercury,50 HP EFI Command Thrust Outboard,
MERC-115HP-115EXLPTPR-LS,2026-MERCURY-115-EXLPT-PRO-XS-34474,34474,Mercury,115 EXLPT PRO XS,Marine,Outboards,Mercury,115 HP Pro XS Outboard,DUPLICATE SKU (first ls_id: 34474)
CC-13APA9TTA10-LS,2026-CUB-CADET-13APA9TTA10-13APA9TTA10,57693,Cub Cadet,13APA9TTA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT1 LT46,DUPLICATE SKU (first ls_id: 57692)
EASY-AL-PTDB2026-TRI-LS,2022-EASY-HAULER-AL-PTDB2026-TRI-308,54217,Easy Hauler,AL-PTDB2026-TRI,Marine,Boat Trailers,Easy Hauler,DRIVE ON BUNK TRI TRAILER 20' 2600#,DUPLICATE SKU (first ls_id: 54217)
MERC-15HP-ME15ELPT4S-LS,2024-MERCURY-ME-15-ELPT-4S-54,34044,Mercury,ME 15 ELPT 4S,Marine,Outboards,Mercury,15 HP Outboard,
MERC-5HP-ME5MH-LS,2025-MERCURY-ME-5MH-23,33965,Mercury,ME 5MH,Marine,Outboards,Mercury,5 HP Outboard,DUPLICATE SKU (first ls_id: 33965)
TORO-77503-LS,2026-TORO-77503-324,54501,Toro,77503,Power Equipment,Zero Turn Mowers,Toro,TimeCutter MyRIDE 77503,
MERC-40HP-ME40ELHPT4-LS,2023-MERCURY-ME-40-ELHPT-4S-EFI-103,34095,Mercury,ME 40 ELHPT 4S EFI,Marine,Outboards,Mercury,40 HP Electric Start EFI Outboard,
EASY-AL-PTDB2026-TRI-LS,2022-EASY-HAULER-AL-PTDB2026-TRI-307,54212,Easy Hauler,AL-PTDB2026-TRI,Marine,Boat Trailers,Easy Hauler,DRIVE ON BUNK TRI TRAILER 20' 2600#,DUPLICATE SKU (first ls_id: 54212)
MERC-6HP-ME6MLH-LS,2024-MERCURY-ME-6MLH-18,33952,Mercury,ME 6MLH,Marine,Outboards,Mercury,6 HP Outboard,DUPLICATE SKU (first ls_id: 33952)
EASY-AL-PTDB2023-LS,2026-EASY-HAULER-AL-PTDB2023-301,54140,Easy Hauler,AL-PTDB2023,Marine,Boat Trailers,Easy Hauler,Drive On Bunk Trailer 18',DUPLICATE SKU (first ls_id: 54140) | PRODUCT NAME: No code data — inferred from sibling SKU AL-PTDB2023-305. Verify size/spec.
MERC-60HP-ME60ELPTCT-LS,2025-MERCURY-ME-60-ELPT-CT-4S-EFI-94,34073,Mercury,ME 60 ELPT CT 4S EFI,Marine,Outboards,Mercury,60 HP EFI Command Thrust Outboard,
EASY-AL-1610B-YC-LS,2024-EASY-HAULER-AL-1610B-YC-302,54204,Easy Hauler,AL-1610B-YC,Marine,Boat Trailers,Easy Hauler,1000 lb Bunk Trailer,
TORO-75747-LS,2026-TORO-75747-444,56397,Toro,75747,Power Equipment,Zero Turn Mowers,Toro,TimeCutter® MyRIDE 75747,DUPLICATE SKU (first ls_id: 56397)
CC-13A6A9TS596-LS,2026-CUB-CADET-13A6A9TS596-13A6A9TS596,57650,Cub Cadet,13A6A9TS596,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT1 LT42,DUPLICATE SKU (first ls_id: 57647)
MERC-15HP-ME15ELHPTP-LS,2023-MERCURY-ME-15-ELHPT-PK-4S-53,34041,Mercury,ME 15 ELHPT PK 4S,Marine,Outboards,Mercury,15 HP Electric Start Outboard,
MERC-20HP-ME20EH4S-LS,2025-MERCURY-ME-20-EH-4S-91,34064,Mercury,ME 20 EH 4S,Marine,Outboards,Mercury,20 HP Electric Start Outboard,DUPLICATE SKU (first ls_id: 34064)
MERC-8HP-ME8MH4STMC-LS,2022-MERCURY-ME-8MH-4S-TMC-38,34004,Mercury,ME 8MH 4S TMC,Marine,Outboards,Mercury,8 HP Outboard,DUPLICATE SKU (first ls_id: 34004)
MERC-99HP-ME99ELH4ST-LS,2023-MERCURY-ME-9.9ELH-4S-TMC-34,33996,Mercury,ME 9.9ELH 4S TMC,Marine,Outboards,Mercury,9.9 HP Electric Start Outboard,DUPLICATE SKU (first ls_id: 33996)
MERC-115HP-115EXLPTPR-LS,2026-MERCURY-115-EXLPT-PRO-XS-34481,34481,Mercury,115 EXLPT PRO XS,Marine,Outboards,Mercury,115 HP Pro XS Outboard,
MERC-75HP-75ELPT-LS,2025-MERCURY-75-ELPT-34524,34524,Mercury,75 ELPT,Marine,Outboards,Mercury,75 HP Outboard,DUPLICATE SKU (first ls_id: 34524)
MERC-50HP-ME50ELHPT4-LS,2025-MERCURY-ME-50-ELHPT-4S-EFI-40,34008,Mercury,ME 50 ELHPT 4S EFI,Marine,Outboards,Mercury,50 HP Electric Start EFI Outboard,
MERC-115HP-ME115XLPXS-LS,2026-MERCURY-ME-115XL-PXS4S-320,54278,Mercury,ME 115XL PXS4S,Marine,Outboards,Mercury,115 HP Pro XS Outboard,
EASY-1250#-PAINTED-T-LS,2025-EASY-HAULER-1250#-PAINTED-TRAILE-304,54208,Easy Hauler,1250# PAINTED TRAILER 480 X 12B E-COAT,Marine,Boat Trailers,Easy Hauler,1250 lb Bunk Trailer,
CC-13B6A9TTA10-LS,2026-CUB-CADET-13B6A9TTA10-13B6A9TTA10,57691,Cub Cadet,13B6A9TTA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT1 LT46,DUPLICATE SKU (first ls_id: 57689)
TORO-77507-LS,2025-TORO-77507-341,54932,Toro,77507,Power Equipment,Zero Turn Mowers,Toro,Z Master 77507,"PRODUCT NAME: Code shows ""HAVOC FAB DECK"" — verify correct Toro product line name (Z Master 2000?)."
MERC-50HP-50ELHPT4SE-LS,2014-MERCURY-50-ELHPT-4S-EFI-97,34079,Mercury,50 ELHPT 4S EFI,Marine,Outboards,Mercury,50 HP Electric Start EFI Outboard,
CC-13APA1TNA10-LS,2026-CUB-CADET-13APA1TNA10-13APA1TNA10,57685,Cub Cadet,13APA1TNA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT2 LX46,DUPLICATE SKU (first ls_id: 57682)
MERC-15HP-ME15ELH4S-LS,2022-MERCURY-ME-15-ELH-4S-51,34039,Mercury,ME 15 ELH 4S,Marine,Outboards,Mercury,15 HP Electric Start Outboard,
MERC-60HP-60ELPT-LS,2023-MERCURY-60-ELPT-34496,34496,Mercury,60 ELPT,Marine,Outboards,Mercury,60 HP Outboard,
TORO-75747-LS,2026-TORO-75747-445,56398,Toro,75747,Power Equipment,Zero Turn Mowers,Toro,TimeCutter® MyRIDE 75747,
MERC-115HP-ME115XLPXS-LS,2026-MERCURY-ME-115XL-PXS4S-321,54279,Mercury,ME 115XL PXS4S,Marine,Outboards,Mercury,115 HP Pro XS Outboard,DUPLICATE SKU (first ls_id: 54279)
MERC-5HP-ME5MH-LS,2025-MERCURY-ME-5MH-24,33968,Mercury,ME 5MH,Marine,Outboards,Mercury,5 HP Outboard,DUPLICATE SKU (first ls_id: 33968)
CC-SLX50-LS,2026-CUB-CADET-SLX50-TEMP,55097,Cub Cadet,SLX50,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT2 SLX50,
CC-13A6A9TS596-LS,2026-CUB-CADET-13A6A9TS596-13A6A9TS596,57644,Cub Cadet,13A6A9TS596,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT1 LT42,DUPLICATE SKU (first ls_id: 57647)
MERC-90HP-ME90ELPT4S-LS,26-MERCURY-ME-90ELPT-4S-ME 90,57612,Mercury,ME 90ELPT 4S,Marine,Outboards,Mercury,90 HP Outboard,DUPLICATE SKU (first ls_id: 57612)
MERC-25HP-ME25MH4STM-LS,2025-MERCURY-ME-2.5MH-4S-TMC-5,33917,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,2.5 HP Outboard,DUPLICATE SKU (first ls_id: 33917)
MERC-50HP-50ELPTEFIC-LS,2026-MERCURY-50-ELPT-EFI-CT-34437,34437,Mercury,50 ELPT EFI CT,Marine,Outboards,Mercury,50 HP EFI Command Thrust Outboard,
MERC-25HP-ME25MH4STM-LS,2025-MERCURY-ME-2.5MH-4S-TMC-6,33920,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,2.5 HP Outboard,DUPLICATE SKU (first ls_id: 33920)
MERC-30HP-ME30ELHPTE-LS,2023-MERCURY-ME-30-ELHPT-EFI-4S-106,34098,Mercury,ME 30 ELHPT EFI 4S,Marine,Outboards,Mercury,30 HP Electric Start EFI Outboard,DUPLICATE SKU (first ls_id: 34098)
TORO-77283-LS,2026-TORO-77283-77283,56759,Toro,77283,Power Equipment,Zero Turn Mowers,Toro,Z MASTER TF2 77283,DUPLICATE SKU (first ls_id: 56759)
MERC-35HP-ME35MH4STM-LS,2023-MERCURY-ME-3.5MH-4S-TMC-13,33939,Mercury,ME 3.5MH 4S TMC,Marine,Outboards,Mercury,3.5 HP Outboard,DUPLICATE SKU (first ls_id: 33939)
EASY-AL-PTDB2023-LS,2026-EASY-HAULER-AL-PTDB2023-305,54210,Easy Hauler,AL-PTDB2023,Marine,Boat Trailers,Easy Hauler,DRIVE ON BUNK TRAILER 18' 2300#,
MERC-25HP-ME25MH4STM-LS,2025-MERCURY-ME-2.5MH-4S-TMC-3,33911,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,2.5 HP Outboard,DUPLICATE SKU (first ls_id: 33911)
TORO-74532-LS,2024-TORO-74532-340,54911,Toro,74532,Power Equipment,Zero Turn Mowers,Toro,GRANDSTAND HDM 74532,DUPLICATE SKU (first ls_id: 54911)
MERC-50HP-ME50ELPT4S-LS,2024-MERCURY-ME-50-ELPT-4S-EFI-42,34014,Mercury,ME 50 ELPT 4S EFI,Marine,Outboards,Mercury,50 HP EFI Outboard,DUPLICATE SKU (first ls_id: 34014)
CC-ACSRY:RZTL:50-54-60--LS,2026-CUB-CADET-ACSRY:RZTL:50-54-60--TEMP,55126,Cub Cadet,ACSRY:RZTL:50 54 60 DK TRI BAG,Power Equipment,Lawn Mower Accessories,Cub Cadet,50 54 60 DK TRI BAGGER,SUBCATEGORY: Accessory product (tri-bagger) — confirm Power Equipment > Lawn Mower Accessories is correct.
MERC-20HP-ME20MLH4S-LS,2022-MERCURY-ME-20-MLH-4S-104,34096,Mercury,ME 20 MLH 4S,Marine,Outboards,Mercury,20 HP Outboard,DUPLICATE SKU (first ls_id: 34096)
CC-13APA1TEA10-LS,2026-CUB-CADET-13APA1TEA10-13APA1TEA10,57678,Cub Cadet,13APA1TEA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT2 LX42,DUPLICATE SKU (first ls_id: 57675)
MERC-50HP-50ELPTEFIC-LS,2026-MERCURY-50-ELPT-EFI-CT-34446,34446,Mercury,50 ELPT EFI CT,Marine,Outboards,Mercury,50 HP EFI Command Thrust Outboard,
MERC-25HP-ME25MH4STM-LS,2025-MERCURY-ME-2.5MH-4S-TMC-10,33932,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,2.5 HP Outboard,DUPLICATE SKU (first ls_id: 33932)
MERC-40HP-40ELPT-LS,2025-MERCURY-40-ELPT-34506,34506,Mercury,40 ELPT,Marine,Outboards,Mercury,40 HP Outboard,
MERC-6HP-ME6MH-LS,2025-MERCURY-ME-6MH-26,33974,Mercury,ME 6MH,Marine,Outboards,Mercury,6 HP Outboard,DUPLICATE SKU (first ls_id: 33974)
MERC-30HP-ME30ELPTEF-LS,2022-MERCURY-ME-30-ELPT-EFI-4S-108,34102,Mercury,ME 30 ELPT EFI 4S,Marine,Outboards,Mercury,30 HP EFI Outboard,DUPLICATE SKU (first ls_id: 34102)
MERC-150HP-150XL-LS,2026-MERCURY-150-XL-34468,34468,Mercury,150 XL,Marine,Outboards,Mercury,150 HP Outboard,
MERC-90HP-90EXLPTCT-LS,2023-MERCURY-90-EXLPT-CT-34490,34490,Mercury,90 EXLPT CT,Marine,Outboards,Mercury,90 HP Command Thrust Outboard,DUPLICATE SKU (first ls_id: 34490)
CC-13APA9TTA10-LS,2026-CUB-CADET-13APA9TTA10-13APA9TTA10,57694,Cub Cadet,13APA9TTA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT1 LT46,DUPLICATE SKU (first ls_id: 57692)
MERC-99HP-ME99MH4S-LS,2025-MERCURY-ME-9.9MH-4S-29,33983,Mercury,ME 9.9MH 4S,Marine,Outboards,Mercury,9.9 HP Outboard,DUPLICATE SKU (first ls_id: 33983)
MERC-20HP-ME20ELHPT4-LS,2021-MERCURY-ME-20-ELHPT-4S-105,34097,Mercury,ME 20 ELHPT 4S,Marine,Outboards,Mercury,20 HP Electric Start Outboard,
MERC-25HP-ME25MH4STM-LS,2025-MERCURY-ME-2.5MH-4S-TMC-7,33923,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,2.5 HP Outboard,DUPLICATE SKU (first ls_id: 33923)
MERC-25HP-ME25ELPTEF-LS,2025-MERCURY-ME-25-ELPT-EFI-4S-56,34048,Mercury,ME 25 ELPT EFI 4S,Marine,Outboards,Mercury,25 HP EFI Outboard,
MERC-15HP-ME15ELPHPT-LS,2023-MERCURY-ME-15-ELPHPT-PK-4S-55,34047,Mercury,ME 15 ELPHPT PK 4S,Marine,Outboards,Mercury,15 HP Electric Start Outboard,DUPLICATE SKU (first ls_id: 34047)
CC-13APA1TNA10-LS,2026-CUB-CADET-13APA1TNA10-XT2 LX46 46-in. 22 HP,57683,Cub Cadet,13APA1TNA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT2 LX46,DUPLICATE SKU (first ls_id: 57683)
TORO-75747-LS,2026-TORO-75747-447,56400,Toro,75747,Power Equipment,Zero Turn Mowers,Toro,TimeCutter® MyRIDE 75747,DUPLICATE SKU (first ls_id: 56400)
