sku,product_title,brand,images_have_pre_search,images_found,status,best_image_url,all_image_urls,sources_tried,sources_found,needs_user_reference_shot,product_identity_flag,notes
MK-MK230PCL-26,Minn Kota Precision Charger MK 230 PCL,Minn Kota,0,8,resolved,https://johnsonoutdoors.widen.net/content/xlmknwxpnv/webp/MK_1832304_MK-230PCL_3q.webp?w=640,https://johnsonoutdoors.widen.net/content/xlmknwxpnv/webp/MK_1832304_MK-230PCL_3q.webp?w=640|https://johnsonoutdoors.widen.net/content/ihfv4ipdhx/webp/MK_1832304_MK-230PCL_3q2.webp?w=640|https://johnsonoutdoors.widen.net/content/3tcdnonype/webp/MK_1832304_MK-230PCL_Bottom.webp?w=640|https://johnsonoutdoors.widen.net/content/cxaamweypa/webp/MK_1832304_MK-230PCL_Full.webp?w=640|https://johnsonoutdoors.widen.net/content/l74c73hoyb/webp/MK_1832304_MK-230PCL_Top.webp?w=640,johnsonoutdoors.widen.net|echo-usa.com|echo-can.ca|hisunmotors.com|cubcadet.com|cubcadet.ca|partstown|jackssmallengines.com|northerntool.com|homedepot.ca|tscstores.ca|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct,johnsonoutdoors.widen.net,False,,8 studio angles on official Minn Kota Widen CDN. Part 1832304. Verify URL accessibility before WP import.
MK-MK345PCL-26,Minn Kota Precision Charger MK 345 PCL,Minn Kota,0,8,resolved,https://johnsonoutdoors.widen.net/content/zdo1qqeztw/webp/MK_1833454_MK-345PCL_3q.webp?w=640,https://johnsonoutdoors.widen.net/content/zdo1qqeztw/webp/MK_1833454_MK-345PCL_3q.webp?w=640|https://johnsonoutdoors.widen.net/content/uip6ndfztj/webp/MK_1833454_MK-345PCL_Side1.webp?w=640|https://johnsonoutdoors.widen.net/content/gnanald35p/webp/MK_1833454_MK-345PCL_Side2.webp?w=640|https://johnsonoutdoors.widen.net/content/hqtd3lg87f/webp/MK_1833454_MK-345PCL_Full.webp?w=640|https://johnsonoutdoors.widen.net/content/i2pwimtwie/webp/MK_1833454_MK-345PCL_Bottom.webp?w=640,johnsonoutdoors.widen.net|echo-usa.com|echo-can.ca|hisunmotors.com|cubcadet.com|cubcadet.ca|partstown|jackssmallengines.com|northerntool.com|homedepot.ca|tscstores.ca|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct,johnsonoutdoors.widen.net,False,,8 studio angles on official Minn Kota Widen CDN. Part 1833454.
MK-MKR30-26,Minn Kota Remote Power Switch MKR-30,Minn Kota,0,9,resolved,https://johnsonoutdoors.widen.net/content/s1cpd2inaa/webp/MK_1865130_MKR-30_RemotePowerSwitch_Main.webp?w=640,https://johnsonoutdoors.widen.net/content/s1cpd2inaa/webp/MK_1865130_MKR-30_RemotePowerSwitch_Main.webp?w=640|https://johnsonoutdoors.widen.net/content/1sllrqaw8l/webp/MK_1865130_MKR-30_SwitchB1.webp?w=640|https://johnsonoutdoors.widen.net/content/nmyoiwfuwq/webp/MK_1865130_MKR-30_SwitchB2.webp?w=640|https://johnsonoutdoors.widen.net/content/jnedyz33k7/webp/MK_1865130_MKR-30_SwitchW1.webp?w=640,johnsonoutdoors.widen.net|echo-usa.com|echo-can.ca|hisunmotors.com|cubcadet.com|cubcadet.ca|partstown|jackssmallengines.com|northerntool.com|homedepot.ca|tscstores.ca|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct,johnsonoutdoors.widen.net,False,REVIEW: MKR-30 is the Minn Kota Remote Power Switch for QUEST trolling motors — NOT a 'Rapid Charger'. No MKR-30 charger exists in Minn Kota catalog. Verify SKU with Reyco/Casey.,9 studio angles on official Minn Kota Widen CDN. Part 1865130. Product title in Lightspeed may be incorrect — confirm what this unit actually is.
MK-EC15-BULK-26,Minn Kota Battery Charger Extension Cable EC-15,Minn Kota,0,1,resolved,https://johnsonoutdoors.widen.net/content/uhicyestdj/webp/MK_1820089_MK-EC-15_hero.webp?w=640,https://johnsonoutdoors.widen.net/content/uhicyestdj/webp/MK_1820089_MK-EC-15_hero.webp?w=640,johnsonoutdoors.widen.net|echo-usa.com|echo-can.ca|hisunmotors.com|cubcadet.com|cubcadet.ca|partstown|jackssmallengines.com|northerntool.com|homedepot.ca|tscstores.ca|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct,johnsonoutdoors.widen.net,False,,EC-15 is a 15ft battery charger output extension cable (part 1820089). 1 hero image on Widen CDN. SKU suffix -BULK may mean this is sold in bulk — confirm with Reyco.
HB-MEGALIVE2-FWD-26,Humminbird MEGA Live 2 Forward Imaging Transducer,Humminbird,0,7,resolved,https://johnsonoutdoors.widen.net/content/u42hzrypq3/webp/HB_710310-1_MEGA_Live_2_alt1.webp?w=640,https://johnsonoutdoors.widen.net/content/u42hzrypq3/webp/HB_710310-1_MEGA_Live_2_alt1.webp?w=640|https://johnsonoutdoors.widen.net/content/wq6bjturkv/webp/HB_710310-1_MEGA_Live_2_alt2.webp?w=640|https://johnsonoutdoors.widen.net/content/ingkfluusb/webp/HB_710310-1_MEGA_Live_2_alt3.webp?w=640|https://johnsonoutdoors.widen.net/content/6z8ivrj0ib/webp/HB_710310-1_MEGA_Live_2_alt4.webp?w=640|https://johnsonoutdoors.widen.net/content/xo8t2jcwtp/webp/HB_710310-1_MEGA_Live_2_Lifestyle3_square.webp?w=640,johnsonoutdoors.widen.net|echo-usa.com|echo-can.ca|hisunmotors.com|cubcadet.com|cubcadet.ca|partstown|jackssmallengines.com|northerntool.com|homedepot.ca|tscstores.ca|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct,johnsonoutdoors.widen.net,False,,7 studio+lifestyle images on official Humminbird Widen CDN. Part 710310-1.
HB-MEGALIVE2-TM-26,Humminbird MEGA Live 2 Transom Mount,Humminbird,0,7,resolved,https://johnsonoutdoors.widen.net/content/xmm4dnutgc/webp/HB_ML2_Transom_Mount_Alt1.webp?w=640,https://johnsonoutdoors.widen.net/content/xmm4dnutgc/webp/HB_ML2_Transom_Mount_Alt1.webp?w=640|https://johnsonoutdoors.widen.net/content/ojon1ik9qj/webp/HB_ML2_Transom_Mount_Alt2.webp?w=640|https://johnsonoutdoors.widen.net/content/odsuhsfvnp/webp/HB_ML2_Transom_Mount_Alt3.webp?w=640|https://johnsonoutdoors.widen.net/content/gpjygscxjc/webp/HB_ML2_Transom_Mount_Alt4.webp?w=640,johnsonoutdoors.widen.net|echo-usa.com|echo-can.ca|hisunmotors.com|cubcadet.com|cubcadet.ca|partstown|jackssmallengines.com|northerntool.com|homedepot.ca|tscstores.ca|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct,johnsonoutdoors.widen.net,False,,7 studio angles on Widen CDN. Stainless steel transom bracket mount for MEGA Live 2 transducer.
HB-ICELIVE2-PM-26,Humminbird ICE Live 2 Portable Module,Humminbird,0,5,resolved,https://johnsonoutdoors.widen.net/content/mxhqqwh8pm/webp/HB_ICE_XPLORE9_CHO_ML2_Alt2.webp?w=640,https://johnsonoutdoors.widen.net/content/mxhqqwh8pm/webp/HB_ICE_XPLORE9_CHO_ML2_Alt2.webp?w=640|https://johnsonoutdoors.widen.net/content/duolqkqglt/webp/HB_ICE_X9_CHO_ML2_Alt1.webp?w=640|https://johnsonoutdoors.widen.net/content/euvshu7uq3/webp/HB_ICE_X9_CHO_ML2_Alt7.webp?w=640,johnsonoutdoors.widen.net|echo-usa.com|echo-can.ca|hisunmotors.com|cubcadet.com|cubcadet.ca|partstown|jackssmallengines.com|northerntool.com|homedepot.ca|tscstores.ca|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct,johnsonoutdoors.widen.net,False,REVIEW: 'ICE LIVE 2 Portable Module' is not a standalone Humminbird SKU. Closest product is ICE XPLORE 9 + MEGA Live 2 Bundle (model 412340-1). Images are from the bundle page. Confirm with Reyco what this SKU actually is.,Images from ICE XPLORE + MEGA Live 2 bundle. 5 angles. Verify correct product before WP import.
HB-XPLORE-KIT-26,Humminbird Xplore Kit,Humminbird,0,8,resolved,https://johnsonoutdoors.widen.net/content/ujodbee1vt/webp/HB_XPLORE_9_alt1.webp?w=640,https://johnsonoutdoors.widen.net/content/ujodbee1vt/webp/HB_XPLORE_9_alt1.webp?w=640|https://johnsonoutdoors.widen.net/content/dnre4ea86c/webp/HB_XPLORE_9_alt2.webp?w=640|https://johnsonoutdoors.widen.net/content/1no8tlvpji/webp/HB_XPLORE_9_alt3.webp?w=640|https://johnsonoutdoors.widen.net/content/40jwbf2kfp/webp/HB_XPLORE_9_alt4.webp?w=640|https://johnsonoutdoors.widen.net/content/skgok2l77n/webp/HB_XPLORE_9_alt5.webp?w=640,johnsonoutdoors.widen.net|echo-usa.com|echo-can.ca|hisunmotors.com|cubcadet.com|cubcadet.ca|partstown|jackssmallengines.com|northerntool.com|homedepot.ca|tscstores.ca|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct,johnsonoutdoors.widen.net,False,REVIEW: 'Xplore Kit' is not a recognized Humminbird product name. Closest match is XPLORE 9 CMSI+ Fish Finder (model 412000-1). Also XPLORE 10/12 variants exist. Images from XPLORE 9 page. Confirm which XPLORE variant this SKU refers to.,8 studio angles from XPLORE 9 product page on Widen CDN. Verify correct variant before WP import.
EC-PB760LNT-26,Echo PB-760LNT Low-Noise Backpack Blower,Echo,0,3,resolved,https://www.echo-usa.com/getattachment/47cf255a-4701-43a4-8a58-9bd46d4428b4/v2_ECHO_Blowers_PB-760LNT_StaticShot2.jpg,https://www.echo-usa.com/getattachment/47cf255a-4701-43a4-8a58-9bd46d4428b4/v2_ECHO_Blowers_PB-760LNT_StaticShot2.jpg|https://www.echo-usa.com/getattachment/3b41547f-efcb-4692-8bd2-a3c737f10b52/v2_ECHO_Blowers_PB-760LN_StaticShot3.jpg|https://www.echo-usa.com/getattachment/c5fc2566-b1f1-47a6-9adf-72c9786c494a/v2_ECHO_Blowers_PB-760LNT_StaticShot1.jpg,echo-usa.com|echo-can.ca|partstown|jackssmallengines.com|northerntool.com|homedepot.ca|tscstores.ca|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct,echo-usa.com,False,,3 studio shots on echo-usa.com product page. Previous session flagged this as blocked (JS render) but getattachment URLs are direct CDN paths accessible without JS. echo-can.ca ECONNREFUSED. Verify URL accessibility — CDN auth may expire.
EC-SHC225-26,Echo SHC-225 Shafted Hedge Trimmer,Echo,0,2,resolved,https://www.echo-usa.com/getattachment/c7f77bf3-8c68-4551-beaf-7b49f31c7da2/v2_ECHO_Hedge-Trimmers_SHC-225_StaticShot2.jpg,https://www.echo-usa.com/getattachment/c7f77bf3-8c68-4551-beaf-7b49f31c7da2/v2_ECHO_Hedge-Trimmers_SHC-225_StaticShot2.jpg|https://www.echo-usa.com/getattachment/a4788873-4f30-4766-9c66-55a78f81651f/v2_ECHO_Hedge-Trimmers_SHC-225_StaticShot1.jpg,echo-usa.com|echo-can.ca|partstown|jackssmallengines.com|northerntool.com|homedepot.ca|tscstores.ca|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct,echo-usa.com,False,,2 studio shots on echo-usa.com. SHC-225 has 33-inch shaft; differs from SHC-225S (shorter shaft). echo-can.ca ECONNREFUSED. Verify CDN URL accessibility before WP import.
EC-SHC225S-26,Echo SHC-225S Shafted Hedge Trimmer (S variant),Echo,0,3,resolved,https://www.echo-usa.com/getattachment/20ed33c3-8baf-4520-986a-be2d8c49c1ca/v2_ECHO_Hedge-Trimmers_SHC-225S_StaticShot2.jpg,https://www.echo-usa.com/getattachment/20ed33c3-8baf-4520-986a-be2d8c49c1ca/v2_ECHO_Hedge-Trimmers_SHC-225S_StaticShot2.jpg|https://www.echo-usa.com/getattachment/e8cbbbd7-41b1-4842-8028-5d574ff31d30/v2_ECHO_Hedge-Trimmers_SHC-225S_StaticShot1.jpg|https://images.homedepot.ca/productimages/p_1000466362.jpg?product-images=l,echo-usa.com|echo-can.ca|partstown|jackssmallengines.com|northerntool.com|homedepot.ca|tscstores.ca|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct,echo-usa.com|homedepot.ca,False,,3 images: 2 from echo-usa.com CDN + 1 from homedepot.ca (SKU 1000466362). Shorter shaft variant vs SHC-225.
CC-CHALL750MX-26,Hisun Challenger 750 MX UTV,Hisun,0,6,resolved,https://atvedmonton.com/cdn/shop/files/37CYCCPK010_MX750_PFL.jpg?v=1740079737&width=1200,https://atvedmonton.com/cdn/shop/files/MX750.jpg?v=1740079737&width=1200|https://atvedmonton.com/cdn/shop/files/37CYCCPK010_MX750_PFL.jpg?v=1740079737&width=1200|https://atvedmonton.com/cdn/shop/files/37CYCCPK010_MX750_H.jpg?v=1740079737&width=1200|https://atvedmonton.com/cdn/shop/files/37CYCCPK010_MX750_R.jpg?v=1740079735&width=1200|https://atvedmonton.com/cdn/shop/files/37CYCCPK010_MX750_LT.jpg?v=1740079735&width=1200|https://atvedmonton.com/cdn/shop/files/37CYCCPK010_MX750_RT.jpg?v=1740079735&width=1200,hisunmotors.com|cubcadet.com|cubcadet.ca|partstown|jackssmallengines.com|northerntool.com|homedepot.ca|tscstores.ca|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct|atvedmonton.com,atvedmonton.com,False,BRAND NOTE: Challenger 750 MX is a Cub Cadet product manufactured with Hisun engineering. Not sold under Hisun brand. Part# 37CYCCPK010. Brand in Lightspeed may be incorrect — confirm Hisun vs Cub Cadet branding for this unit.,6 multi-angle images on atvedmonton.com (Canadian ATV dealer Shopify CDN). cubcadet.com returned 403. hisunmotors.com does not list this model. Verify URL stability (dealer Shopify CDN may change).
