sku,product_title,brand,images_have_pre_search,images_found,status,best_image_url,all_image_urls,sources_tried,sources_found,needs_user_reference_shot,product_identity_flag,notes
CC-13A6A9TS596-LS,Cub Cadet XT1 LT42 42-in. 547cc IntelliPower,Cub Cadet,0,16,resolved,https://www.outillagesexpress.com/cdn/shop/files/Cub-Cadet_XT1LT42_IP_1.jpg?v=1776088169&width=2000,https://www.outillagesexpress.com/cdn/shop/files/Cub-Cadet_XT1LT42_IP_1.jpg?v=1776088169&width=2000|https://www.outillagesexpress.com/cdn/shop/files/Cub-Cadet_XT1LT42_IP_2.jpg?v=1776088177&width=2000|https://www.outillagesexpress.com/cdn/shop/files/Cub-Cadet_XT1LT42_IP_3.jpg?v=1776088164&width=2000|https://www.outillagesexpress.com/cdn/shop/files/Cub-Cadet_XT1LT42_IP_4.jpg?v=1776088168&width=2000|https://www.outillagesexpress.com/cdn/shop/files/Cub-Cadet_XT1LT42_IP_5.jpg?v=1776088166&width=2000,cubcadet.com|cubcadet.ca|homedepot.ca|tscstores.ca|partstown|jackssmallengines.com|northerntool.com|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct|outillagesexpress.com|powerproequipmentonlinestore.com|arcolawn.com|bigredmotorsports.com|equipmentsearch.com|howardbrothers.com|rrsmallengine.com,outillagesexpress.com,False,,16 studio/multi-angle images at 2000px on outillagesexpress.com (Canadian Shopify dealer). cubcadet.com 403.
CC-13APA1TEA10-LS,Cub Cadet XT2 LX42 42-in. 20 HP,Cub Cadet,0,10,resolved,https://www.outillagesexpress.com/cdn/shop/files/Cub-Cadet_XT2_LX42_2000x2000_1.jpg?v=1776088206&width=2000,https://www.outillagesexpress.com/cdn/shop/files/Cub-Cadet_XT2_LX42_2000x2000_1.jpg?v=1776088206&width=2000|https://www.outillagesexpress.com/cdn/shop/files/Cub-Cadet_XT2_LX42_2000x2000_2.jpg?v=1776088204&width=2000|https://www.outillagesexpress.com/cdn/shop/files/Cub-Cadet_XT2_LX42_2000x2000_3.jpg?v=1776088208&width=2000|https://www.outillagesexpress.com/cdn/shop/files/Cub-Cadet_XT2_LX42_2000x2000_4.jpg?v=1776088210&width=2000|https://www.outillagesexpress.com/cdn/shop/files/Cub-Cadet_XT2_LX42_2000x2000_5.jpg?v=1776088212&width=2000,cubcadet.com|cubcadet.ca|homedepot.ca|tscstores.ca|partstown|jackssmallengines.com|northerntool.com|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct|outillagesexpress.com|powerproequipmentonlinestore.com|arcolawn.com|bigredmotorsports.com|equipmentsearch.com|howardbrothers.com|rrsmallengine.com,outillagesexpress.com|powerproequipmentonlinestore.com,False,,10 studio images at 2000px on outillagesexpress.com (Canadian dealer).
CC-13APA1TNA10-LS,Cub Cadet XT2 LX46 46-in. 22 HP,Cub Cadet,0,6,resolved,https://powerproequipmentonlinestore.com/cdn/shop/files/Cub-Cadet_XT2_LX46_2000x2000_1.jpg?v=1739544136&width=1946,https://powerproequipmentonlinestore.com/cdn/shop/files/Cub-Cadet_XT2_LX46_2000x2000_1.jpg?v=1739544136&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/Cub-Cadet_XT2_LX46_2000x2000_2.jpg?v=1739544149&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/Cub-Cadet_XT2_LX46_2000x2000_3.jpg?v=1739544164&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/Cub-Cadet_XT2_LX46_2000x2000_4.jpg?v=1739544181&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/Cub-Cadet_XT2_LX46_2000x2000_5.jpg?v=1739544195&width=1946,cubcadet.com|cubcadet.ca|homedepot.ca|tscstores.ca|partstown|jackssmallengines.com|northerntool.com|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct|outillagesexpress.com|powerproequipmentonlinestore.com|arcolawn.com|bigredmotorsports.com|equipmentsearch.com|howardbrothers.com|rrsmallengine.com,powerproequipmentonlinestore.com,False,,6 studio images on powerproequipmentonlinestore.com Shopify CDN.
CC-13APA9TTA10-LS,Cub Cadet XT1 LT46 46-in. 22 HP,Cub Cadet,0,4,resolved,https://powerproequipmentonlinestore.com/cdn/shop/files/Cub-Cadet_XT1LT46_New_2000x2000_8.jpg?v=1739545490&width=1946,https://powerproequipmentonlinestore.com/cdn/shop/files/Cub-Cadet_XT1LT46_New_2000x2000_8.jpg?v=1739545490&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/2022_XT1_LT46_env.jpg?v=1739545490&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/2022_XT1_LT46_LT.jpg?v=1739545490&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/2022_XT1_LT46_RT.jpg?v=1739545490&width=1946,cubcadet.com|cubcadet.ca|homedepot.ca|tscstores.ca|partstown|jackssmallengines.com|northerntool.com|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct|outillagesexpress.com|powerproequipmentonlinestore.com|arcolawn.com|bigredmotorsports.com|equipmentsearch.com|howardbrothers.com|rrsmallengine.com,powerproequipmentonlinestore.com,False,,4 images on powerproequipmentonlinestore.com. Fewer images than sibling models — may share SKU-level variation with CC-13B6A9TTA10-LS.
CC-13AQA1TLA10-LS,Cub Cadet XT1 LT50 50-in. 24 HP,Cub Cadet,0,11,resolved,https://powerproequipmentonlinestore.com/cdn/shop/files/Cub-Cadet_XT1LT50_New_2000x2000_9_1.jpg?v=1739545341&width=1946,https://powerproequipmentonlinestore.com/cdn/shop/files/Cub-Cadet_XT1LT50_New_2000x2000_9_1.jpg?v=1739545341&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/Cub-Cadet_XT1LT50_New_2000x2000_2.jpg?v=1746037070&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/Cub-Cadet_XT1LT50_New_2000x2000_3.jpg?v=1746037070&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/Cub-Cadet_XT1LT50_New_2000x2000_4.jpg?v=1746037163&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/Cub-Cadet_XT1LT50_New_2000x2000_5.jpg?v=1746037163&width=1946,cubcadet.com|cubcadet.ca|homedepot.ca|tscstores.ca|partstown|jackssmallengines.com|northerntool.com|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct|outillagesexpress.com|powerproequipmentonlinestore.com|arcolawn.com|bigredmotorsports.com|equipmentsearch.com|howardbrothers.com|rrsmallengine.com,powerproequipmentonlinestore.com,False,,11 studio images on powerproequipmentonlinestore.com.
CC-13B5A2TLA10-LS,Cub Cadet XT2 SLX50,Cub Cadet,0,10,resolved,https://powerproequipmentonlinestore.com/cdn/shop/files/ghbfghf.jpg?v=1742407753&width=1946,https://powerproequipmentonlinestore.com/cdn/shop/files/ghbfghf.jpg?v=1742407753&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/gfnfn.jpg?v=1742407754&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/fghfgg.jpg?v=1742407758&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/k_u.jpg?v=1742407760&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/muymy.jpg?v=1742407765&width=1946,cubcadet.com|cubcadet.ca|homedepot.ca|tscstores.ca|partstown|jackssmallengines.com|northerntool.com|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct|outillagesexpress.com|powerproequipmentonlinestore.com|arcolawn.com|bigredmotorsports.com|equipmentsearch.com|howardbrothers.com|rrsmallengine.com,powerproequipmentonlinestore.com,False,"REVIEW: Lightspeed title says 'NX 15 SLX50' but model 13B5A2TLA10 is the XT2 SLX50 in all official/dealer catalogs. 'NX 15' designation not found anywhere. ALSO: same product as CC-SLX50-LS — possible duplicate SKU, confirm with Reyco.",10 images on powerproequipmentonlinestore.com. Obfuscated filenames but 200 OK.
CC-13B6A9TTA10-LS,Cub Cadet XT1 LT46 46-in. 547cc IntelliPower,Cub Cadet,0,15,resolved,https://equipmentsearch.com/uploadedimages/8145/37494238.jpg,https://equipmentsearch.com/uploadedimages/8145/37494238.jpg|https://equipmentsearch.com/uploadedimages/8145/37494238_7.jpg|https://equipmentsearch.com/uploadedimages/8145/37494238_1.jpg|https://equipmentsearch.com/uploadedimages/8145/37494238_2.jpg|https://equipmentsearch.com/uploadedimages/8145/37494238_3.jpg,cubcadet.com|cubcadet.ca|homedepot.ca|tscstores.ca|partstown|jackssmallengines.com|northerntool.com|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct|outillagesexpress.com|powerproequipmentonlinestore.com|arcolawn.com|bigredmotorsports.com|equipmentsearch.com|howardbrothers.com|rrsmallengine.com,equipmentsearch.com (via rrsmallengine.com Canadian dealer),False,,"15 multi-angle images via R&R Small Engine Repair (Alexandria, ON) on equipmentsearch.com CDN. Canadian dealer source. Verify URL stability before WP import."
CC-13CC1JD596-LS,Cub Cadet CC30H Compact Rear-Engine Riding Mower,Cub Cadet,0,6,resolved,https://www.arcolawn.com/cdn/shop/files/cub-cadet-cc30h-mini-riding-mower-cub-13bc21jda10-arco-lawn-equipment-349260.jpg?v=1756327508&width=1000,https://www.arcolawn.com/cdn/shop/files/cub-cadet-cc30h-mini-riding-mower-cub-13bc21jda10-arco-lawn-equipment-349260.jpg?v=1756327508&width=1000|https://www.arcolawn.com/cdn/shop/files/cub-cadet-cc30h-mini-riding-mower-cub-13bc21jda10-arco-lawn-equipment-968615.jpg?v=1756327508&width=1000|https://www.arcolawn.com/cdn/shop/files/cub-cadet-cc30h-mini-riding-mower-cub-13bc21jda10-arco-lawn-equipment-398858.jpg?v=1756327508&width=1000|https://www.arcolawn.com/cdn/shop/files/cub-cadet-cc30h-mini-riding-mower-cub-13bc21jda10-arco-lawn-equipment-796617.jpg?v=1756327508&width=1000|https://www.arcolawn.com/cdn/shop/files/cub-cadet-cc30h-mini-riding-mower-cub-13bc21jda10-arco-lawn-equipment-335008.jpg?v=1756327508&width=1000|https://www.arcolawn.com/cdn/shop/files/cub-cadet-cc30h-mini-riding-mower-cub-13bc21jda10-arco-lawn-equipment-999652.jpg?v=1756327508&width=1000,cubcadet.com|cubcadet.ca|homedepot.ca|tscstores.ca|partstown|jackssmallengines.com|northerntool.com|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct|outillagesexpress.com|powerproequipmentonlinestore.com|arcolawn.com|bigredmotorsports.com|equipmentsearch.com|howardbrothers.com|rrsmallengine.com,arcolawn.com,False,"REVIEW: CC30H is a compact REAR-ENGINE RIDING MOWER, not a walk-behind. Lightspeed title says 'Walk-Behind' — incorrect. Also check model number: Lightspeed has 13CC1JD596 but Canadian model is 13CC21JD596 (extra '2'). Confirm with Reyco.",6 multi-angle images at 1000px on arcolawn.com Shopify CDN. Note dealer URL stability risk.
CC-ACSRY:RZTL:50-54-60--LS,Cub Cadet 50/54/60 Deck Triple Bagger Attachment,Cub Cadet,0,10,resolved,https://cdpcdn.dx1app.com/products/USA/CC/2025/MOWERIMP/BAGGER/TRIPLE_BAGGER_FOR_50_54_AND_60_IN_DECKS_ULTIMA_SER/50/BLACK/2000000001_480px.jpg,https://cdpcdn.dx1app.com/products/USA/CC/2025/MOWERIMP/BAGGER/TRIPLE_BAGGER_FOR_50_54_AND_60_IN_DECKS_ULTIMA_SER/50/BLACK/2000000001_480px.jpg|https://cdpcdn.dx1app.com/products/USA/CC/2025/MOWERIMP/BAGGER/TRIPLE_BAGGER_FOR_50_54_AND_60_IN_DECKS_ULTIMA_SER/50/BLACK/2000000002_480px.jpg|https://cdpcdn.dx1app.com/products/USA/CC/2025/MOWERIMP/BAGGER/TRIPLE_BAGGER_FOR_50_54_AND_60_IN_DECKS_ULTIMA_SER/50/BLACK/2000000003_480px.jpg,cubcadet.com|cubcadet.ca|homedepot.ca|tscstores.ca|partstown|jackssmallengines.com|northerntool.com|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct|outillagesexpress.com|powerproequipmentonlinestore.com|arcolawn.com|bigredmotorsports.com|equipmentsearch.com|howardbrothers.com|rrsmallengine.com,cdpcdn.dx1app.com (Cub Cadet DX1 dealer platform),False,NOTE: SKU 'RZTL' suggests RZT-L zero-turn bagger. The 50/54/60-inch triple bagger fits Ultima ZT2/ZT3 decks (part 19A70056100). Images at 480px — full-res available by removing '_480px' suffix. Confirm deck compatibility with Reyco.,10 images from Cub Cadet DX1 dealer platform CDN (cdpcdn.dx1app.com). Official Cub Cadet dealer image source — stable.
CC-SLX50-LS,Cub Cadet XT2 SLX50,Cub Cadet,0,10,resolved,https://powerproequipmentonlinestore.com/cdn/shop/files/ghbfghf.jpg?v=1742407753&width=1946,https://powerproequipmentonlinestore.com/cdn/shop/files/ghbfghf.jpg?v=1742407753&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/gfnfn.jpg?v=1742407754&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/fghfgg.jpg?v=1742407758&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/k_u.jpg?v=1742407760&width=1946|https://powerproequipmentonlinestore.com/cdn/shop/files/muymy.jpg?v=1742407765&width=1946,cubcadet.com|cubcadet.ca|homedepot.ca|tscstores.ca|partstown|jackssmallengines.com|northerntool.com|mowermagic.co.uk|ebay-active|ebay-sold|amazon.ca|wayback-machine|websearch-google|websearch-bing|manufacturer-direct|outillagesexpress.com|powerproequipmentonlinestore.com|arcolawn.com|bigredmotorsports.com|equipmentsearch.com|howardbrothers.com|rrsmallengine.com,powerproequipmentonlinestore.com,False,REVIEW: Same product as CC-13B5A2TLA10-LS (both are XT2 SLX50 model 13B5A2TLA10). Possible duplicate SKU in Lightspeed — confirm with Reyco whether these should be merged.,Same images as CC-13B5A2TLA10-LS. Confirm if duplicate SKU before WP import.
