sku,product_title,brand,image_url,image_alt,source_site,status,notes,image_count,image_categories,shortfall_vs_target,reyco_product_url
MERC-30HP-ME30ELHPTE-LS,Mercury 30 HP Outboard Motor EFI,Mercury,https://partsvu.com/cdn/shop/files/4S_30HP_TillerUp_GA_Rear_3_4_Port.jpg,Mercury 30 HP Outboard Motor EFI,partsvu.com,ready,PartsVU CDN (mercury-30hp): 6 images. Shares image family with related variants.,6,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-30-hp-outboard-motor-efi/
MERC-30HP-ME30ELPTEF-LS,Mercury 30 HP Outboard Motor EFI,Mercury,https://partsvu.com/cdn/shop/files/4S_30HP_TillerUp_GA_Rear_3_4_Port.jpg,Mercury 30 HP Outboard Motor EFI,partsvu.com,ready,PartsVU CDN (mercury-30hp): 6 images. Shares image family with related variants.,6,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-30-hp-outboard-motor-efi/
MERC-40HP-ME40ELHPT4-LS,Mercury 40 HP Outboard Motor EFI,Mercury,https://partsvu.com/cdn/shop/files/40ELPT_1.png,Mercury 40 HP Outboard Motor EFI,partsvu.com,flag-shortfall,PartsVU CDN (mercury-40hp): 3 images. Shares image family with related variants.,3,"hero,studio,lifestyle",1,https://reyco.glvmarketing.ca/product/mercury-40-hp-outboard-motor-efi/
MERC-4HP-ME4MH4S-LS,Mercury 4 HP Portable Outboard,Mercury,https://partsvu.com/cdn/shop/files/4_HP__Rear_Port_3-4.jpg,Mercury 4 HP Portable Outboard,partsvu.com,ready,PartsVU CDN (mercury-4hp): 5 images. Shares image family with related variants.,5,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-4-hp-portable-outboard/
MERC-5HP-ME5MHLPG4S-LS,Mercury 5 HP Portable Outboard,Mercury,https://partsvu.com/cdn/shop/files/5hp_SP_Fourstroke_Rear_GoogleShoppingFormat.jpg,Mercury 5 HP Portable Outboard,partsvu.com,ready,PartsVU CDN (mercury-5hp): 6 images. Shares image family with related variants.,6,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-5-hp-portable-outboard/
MERC-UNKHP-ME5MXLHALP-LS,Mercury ME 5 MXLHA LPG 4S SAILPOWER Outboard Motor,Mercury,https://partsvu.com/cdn/shop/files/5hp_SP_Fourstroke_Rear_GoogleShoppingFormat.jpg,Mercury ME 5 MXLHA LPG 4S SAILPOWER Outboard Motor,partsvu.com,flag-shortfall,PartsVU CDN (mercury-5hp-sailpower): 3 images. Shares image family with related variants.,3,"hero,studio,lifestyle",1,https://reyco.glvmarketing.ca/product/mercury-me-5-mxlha-lpg-4s-sailpower-outboard-motor/
MERC-50HP-ME50ELHPT4-LS,Mercury 50 HP Outboard Motor EFI,Mercury,https://partsvu.com/cdn/shop/files/MM_50hp_4S_4-Cyl_RP34_STD.jpg,Mercury 50 HP Outboard Motor EFI,partsvu.com,ready,PartsVU CDN (mercury-50hp): 6 images. Shares image family with related variants.,6,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-50-hp-outboard-motor-efi/
MERC-50HP-ME50ELPT4S-LS,Mercury 50 HP Outboard Motor EFI,Mercury,https://partsvu.com/cdn/shop/files/MM_50hp_4S_4-Cyl_RP34_STD.jpg,Mercury 50 HP Outboard Motor EFI,partsvu.com,ready,PartsVU CDN (mercury-50hp): 6 images. Shares image family with related variants.,6,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-50-hp-outboard-motor-efi/
MERC-50HP-ME50ELPTCT-LS,Mercury 50 HP Outboard Motor EFI,Mercury,https://partsvu.com/cdn/shop/files/MM_50hp_4S_4-Cyl_RP34_STD.jpg,Mercury 50 HP Outboard Motor EFI,partsvu.com,ready,PartsVU CDN (mercury-50hp): 6 images. Shares image family with related variants.,6,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-50-hp-outboard-motor-efi/
MERC-5HP-ME5MH-LS,Mercury 5 HP Portable Outboard,Mercury,https://partsvu.com/cdn/shop/files/5hp_SP_Fourstroke_Rear_GoogleShoppingFormat.jpg,Mercury 5 HP Portable Outboard,partsvu.com,ready,PartsVU CDN (mercury-5hp): 6 images. Shares image family with related variants.,6,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-5-hp-portable-outboard/
MERC-60HP-ME60ELHPTC-LS,Mercury 60 HP Outboard Motor,Mercury,https://partsvu.com/cdn/shop/files/MM_60hp_4S_4-Cyl_RP34_STD.jpg,Mercury 60 HP Outboard Motor,partsvu.com,ready,PartsVU CDN (mercury-60hp): 6 images. Shares image family with related variants.,6,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-60-hp-outboard-motor/
MERC-60HP-ME60ELPT4S-LS,Mercury 60 HP Outboard Motor EFI,Mercury,https://partsvu.com/cdn/shop/files/MM_60hp_4S_4-Cyl_RP34_STD.jpg,Mercury 60 HP Outboard Motor EFI,partsvu.com,ready,PartsVU CDN (mercury-60hp): 6 images. Shares image family with related variants.,6,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-60-hp-outboard-motor-efi/
MERC-60HP-ME60ELPTCT-LS,Mercury 60 HP Outboard Motor EFI,Mercury,https://partsvu.com/cdn/shop/files/MM_60hp_4S_4-Cyl_RP34_STD.jpg,Mercury 60 HP Outboard Motor EFI,partsvu.com,ready,PartsVU CDN (mercury-60hp): 6 images. Shares image family with related variants.,6,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-60-hp-outboard-motor-efi/
MERC-6HP-ME6MH-LS,Mercury 6 HP Portable Outboard,Mercury,https://partsvu.com/cdn/shop/files/6_HP_Rear_Port_3-4_5d676054-78a3-49e9-98dd-fafe6beb4a6b.jpg,Mercury 6 HP Portable Outboard,partsvu.com,ready,PartsVU CDN (mercury-6hp): 5 images. Shares image family with related variants.,5,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-6-hp-portable-outboard/
MERC-6HP-ME6MLH-LS,Mercury 6 HP Portable Outboard,Mercury,https://partsvu.com/cdn/shop/files/6_HP_Rear_Port_3-4_5d676054-78a3-49e9-98dd-fafe6beb4a6b.jpg,Mercury 6 HP Portable Outboard,partsvu.com,ready,PartsVU CDN (mercury-6hp): 5 images. Shares image family with related variants.,5,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-6-hp-portable-outboard/
MERC-8HP-ME8EH4S-LS,Mercury 8 HP Mid-Range Outboard,Mercury,https://partsvu.com/cdn/shop/files/8hp_Rear_Port_3-4.jpg,Mercury 8 HP Mid-Range Outboard,partsvu.com,ready,PartsVU CDN (mercury-8hp): 6 images. Shares image family with related variants.,6,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-8-hp-mid-range-outboard/
MERC-8HP-ME8MH4STMC-LS,Mercury 8 HP Mid-Range Outboard,Mercury,https://partsvu.com/cdn/shop/files/8hp_Rear_Port_3-4.jpg,Mercury 8 HP Mid-Range Outboard,partsvu.com,ready,PartsVU CDN (mercury-8hp): 6 images. Shares image family with related variants.,6,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-8-hp-mid-range-outboard/
MERC-99HP-ME99ELH4ST-LS,Mercury 9.9 HP Mid-Range Outboard,Mercury,https://partsvu.com/cdn/shop/files/9.9_HP_Rear_Port_3-4_a6092772-8c95-4859-b0d1-bb37901cfd6a.jpg,Mercury 9.9 HP Mid-Range Outboard,partsvu.com,ready,PartsVU CDN (mercury-99hp): 6 images. Shares image family with related variants.,6,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-9-9-hp-mid-range-outboard/
MERC-99HP-ME99MH4S-LS,Mercury 9.9 HP Mid-Range Outboard,Mercury,https://partsvu.com/cdn/shop/files/9.9_HP_Rear_Port_3-4_a6092772-8c95-4859-b0d1-bb37901cfd6a.jpg,Mercury 9.9 HP Mid-Range Outboard,partsvu.com,ready,PartsVU CDN (mercury-99hp): 6 images. Shares image family with related variants.,6,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-9-9-hp-mid-range-outboard/
MERC-90HP-ME90ELPT4S-LS,Mercury 90 HP Outboard Motor,Mercury,https://partsvu.com/cdn/shop/files/90hp_4S_RP3-4.jpg,Mercury 90 HP Outboard Motor,partsvu.com,ready,PartsVU CDN (mercury-90hp): 6 images. Shares image family with related variants.,6,"hero,studio,lifestyle",0,https://reyco.glvmarketing.ca/product/mercury-90-hp-outboard-motor/
PC-AMAROK-166-WS-LS,Princecraft AMAROK 166 WS,Princecraft,https://build.princecraft.com/images/build/designs/4661026-1030082_full.jpg,Princecraft AMAROK 166 WS,princecraft.com,flag-shortfall,Princecraft builder CDN: 2 color-config variants,2,hero,2,https://reyco.glvmarketing.ca/product/princecraft-amarok-166-ws/
PC-RESORTER-160-BT-LS,Princecraft RESORTER 160 BT,Princecraft,https://build.princecraft.com/images/build/designs/4771006-1035082_full.jpg,Princecraft RESORTER 160 BT,princecraft.com,flag-shortfall,Princecraft builder CDN: 1 color-config variants,1,hero,3,https://reyco.glvmarketing.ca/product/princecraft-resorter-160-bt/
PC-SPORTFISHER-21-2RS-LS,Princecraft SPORTFISHER 21 2RS,Princecraft,https://build.princecraft.com/images/build/designs/5320026-1065182_full.jpg,Princecraft SPORTFISHER 21 2RS,princecraft.com,ready,Princecraft builder CDN: 6 color-config variants,6,color-variant,0,https://reyco.glvmarketing.ca/product/princecraft-sportfisher-21-2rs/
PC-SPORTFISHER-23-2RS-LS,Princecraft SPORTFISHER 23 2RS,Princecraft,https://build.princecraft.com/images/build/designs/5290026-1065182_full.jpg,Princecraft SPORTFISHER 23 2RS,princecraft.com,ready,Princecraft builder CDN: 6 color-config variants,6,color-variant,0,https://reyco.glvmarketing.ca/product/princecraft-sportfisher-23-2rs/
PC-VECTRA-21-RL-LS,Princecraft VECTRA 21 RL,Princecraft,https://build.princecraft.com/images/build/designs/5490026-1070082_full.jpg,Princecraft VECTRA 21 RL,princecraft.com,ready,Princecraft builder CDN: 6 color-config variants,6,color-variant,0,https://reyco.glvmarketing.ca/product/princecraft-vectra-21-rl/
CC-13A6A9TS596-LS,Cub Cadet XT1 LT42 42-in. 547cc Riding Lawn Mower,Cub Cadet,,Cub Cadet XT1 LT42 42-in. 547cc Riding Lawn Mower,cubcadet.com,flag-dealer-portal,"Web scraping blocked on cubcadet.com, cubcadet.ca, homedepot.com, lowes.com, tractorsupply.com. Needs dealer portal image pack or manual download. Add to Casey v3 ask.",0,,4,https://reyco.glvmarketing.ca/product/cub-cadet-xt1-lt42-42-in-547cc-riding-lawn-mower/
CC-13APA1TEA10-LS,Cub Cadet XT2 LX42 42-in. 20 HP,Cub Cadet,,Cub Cadet XT2 LX42 42-in. 20 HP,cubcadet.com,flag-dealer-portal,"Web scraping blocked on cubcadet.com, cubcadet.ca, homedepot.com, lowes.com, tractorsupply.com. Needs dealer portal image pack or manual download. Add to Casey v3 ask.",0,,4,https://reyco.glvmarketing.ca/product/cub-cadet-xt2-lx42-42-in-20-hp/
CC-13APA1TNA10-LS,Cub Cadet XT2 LX46 46-in. 22 HP,Cub Cadet,,Cub Cadet XT2 LX46 46-in. 22 HP,cubcadet.com,flag-dealer-portal,"Web scraping blocked on cubcadet.com, cubcadet.ca, homedepot.com, lowes.com, tractorsupply.com. Needs dealer portal image pack or manual download. Add to Casey v3 ask.",0,,4,https://reyco.glvmarketing.ca/product/cub-cadet-xt2-lx46-46-in-22-hp/
CC-13APA9TTA10-LS,Cub Cadet XT1 LT46 46-in. 22 HP* Riding Lawn Mower,Cub Cadet,,Cub Cadet XT1 LT46 46-in. 22 HP* Riding Lawn Mower,cubcadet.com,flag-dealer-portal,"Web scraping blocked on cubcadet.com, cubcadet.ca, homedepot.com, lowes.com, tractorsupply.com. Needs dealer portal image pack or manual download. Add to Casey v3 ask.",0,,4,https://reyco.glvmarketing.ca/product/cub-cadet-xt1-lt46-46-in-22-hp-riding-lawn-mower/
CC-13AQA1TLA10-LS,Cub Cadet XT1 LT50 50-in. 24 HP* Riding Lawn Mower,Cub Cadet,,Cub Cadet XT1 LT50 50-in. 24 HP* Riding Lawn Mower,cubcadet.com,flag-dealer-portal,"Web scraping blocked on cubcadet.com, cubcadet.ca, homedepot.com, lowes.com, tractorsupply.com. Needs dealer portal image pack or manual download. Add to Casey v3 ask.",0,,4,https://reyco.glvmarketing.ca/product/cub-cadet-xt1-lt50-50-in-24-hp-riding-lawn-mower/
CC-13B5A2TLA10-LS,Cub Cadet NX 15 SLX50,Cub Cadet,,Cub Cadet NX 15 SLX50,cubcadet.com,flag-dealer-portal,"Web scraping blocked on cubcadet.com, cubcadet.ca, homedepot.com, lowes.com, tractorsupply.com. Needs dealer portal image pack or manual download. Add to Casey v3 ask.",0,,4,https://reyco.glvmarketing.ca/product/cub-cadet-nx-15-slx50/
CC-13B6A9TTA10-LS,Cub Cadet XT1 LT46 46-in. 547cc,Cub Cadet,,Cub Cadet XT1 LT46 46-in. 547cc,cubcadet.com,flag-dealer-portal,"Web scraping blocked on cubcadet.com, cubcadet.ca, homedepot.com, lowes.com, tractorsupply.com. Needs dealer portal image pack or manual download. Add to Casey v3 ask.",0,,4,https://reyco.glvmarketing.ca/product/cub-cadet-xt1-lt46-46-in-547cc/
CC-13CC1JD596-LS,Cub Cadet CC30H,Cub Cadet,,Cub Cadet CC30H,cubcadet.com,flag-dealer-portal,"Web scraping blocked on cubcadet.com, cubcadet.ca, homedepot.com, lowes.com, tractorsupply.com. Needs dealer portal image pack or manual download. Add to Casey v3 ask.",0,,4,https://reyco.glvmarketing.ca/product/cub-cadet-cc30h/
CC-ACSRY:RZTL:50-54-60--LS,Cub Cadet 50 54 60 DK TRI BAGGER,Cub Cadet,,Cub Cadet 50 54 60 DK TRI BAGGER,cubcadet.com,flag-dealer-portal,"Web scraping blocked on cubcadet.com, cubcadet.ca, homedepot.com, lowes.com, tractorsupply.com. Needs dealer portal image pack or manual download. Add to Casey v3 ask.",0,,4,https://reyco.glvmarketing.ca/product/cub-cadet-50-54-60-dk-tri-bagger/
CC-SLX50-LS,Cub Cadet XT2 SLX50,Cub Cadet,,Cub Cadet XT2 SLX50,cubcadet.com,flag-dealer-portal,"Web scraping blocked on cubcadet.com, cubcadet.ca, homedepot.com, lowes.com, tractorsupply.com. Needs dealer portal image pack or manual download. Add to Casey v3 ask.",0,,4,https://reyco.glvmarketing.ca/product/cub-cadet-xt2-slx50/
