file,line,american_spelling,canadian_spelling,is_code_context,action,snippet
wp-content/themes/reyco-marine/inc/category-configs/boats-marine--deck-boats.php,83,maximizes,maximises,N,REPLACE,"['q' => 'How many people can a deck boat hold?', 'a' => 'Depending on the model, Princecraft Ventura deck boats carry 8 "
wp-content/themes/reyco-marine/inc/category-configs/boats-marine--mercury.php,19,authorized,authorised,N,REPLACE,"<p>As an authorized Mercury dealer in Sault Ste Marie, we carry the full range of outboard motors. The portable series f"
wp-content/themes/reyco-marine/inc/category-configs/boats-marine--mercury.php,87,authorized,authorised,N,REPLACE,"<p>If you are running a 9.9 HP kicker motor for <a href=""/boats-and-marine/trolling-motors/"">trolling</a> the St. Marys "
wp-content/themes/reyco-marine/inc/category-configs/boats-marine--mercury.php,93,authorized,authorised,N,REPLACE,"['q' => 'Do you service Mercury motors you did not sell?', 'a' => 'Yes. As an authorized Mercury dealer, we service all "
wp-content/themes/reyco-marine/inc/category-configs/boats-marine--mercury.php,95,authorized,authorised,N,REPLACE,"['q' => 'What is the warranty on a new Mercury outboard?', 'a' => 'Mercury offers a limited factory warranty on all new "
wp-content/themes/reyco-marine/inc/category-configs/boats-marine--outboard-motors.php,18,authorized,authorised,N,REPLACE,"'body'     => '<p>The outboard motor market is full of options, but at Reyco Marine, we made a deliberate choice years a"
wp-content/themes/reyco-marine/inc/category-configs/boats-marine--outboard-motors.php,80,authorized,authorised,N,REPLACE,'body'     => '<p>The boating conditions in Northern Ontario test outboard motors in ways that other regions simply do n
wp-content/themes/reyco-marine/inc/category-configs/boats-marine--princecraft.php,91,authorized,authorised,N,REPLACE,"['q' => 'Is Reyco Marine the only Princecraft dealer in Sault Ste Marie?', 'a' => 'Yes. We are the exclusive authorized "
wp-content/themes/reyco-marine/inc/category-configs/boats-marine--princecraft.php,94,authorized,authorised,N,REPLACE,"['q' => 'What warranty comes with a new Princecraft?', 'a' => 'Princecraft offers a limited lifetime structural warranty"
wp-content/themes/reyco-marine/inc/category-configs/boats-marine.php,70,authorized,authorised,N,REPLACE,"'description' => 'The only authorized Princecraft dealer in Sault Ste Marie. Factory-direct pricing, full warranty suppo"
wp-content/themes/reyco-marine/inc/category-configs/boats-marine.php,99,authorized,authorised,N,REPLACE,"['q' => 'What brands of motors do you carry?', 'a' => 'We are an authorized <a href=""/boats-and-marine/mercury/"">Mercury"
wp-content/themes/reyco-marine/inc/category-configs/docks-and-lifts--marine-railways.php,44,prioritize,prioritise,N,REPLACE,"['q'=>'Manual or electric winch?','a'=>'For smaller boats and occasional use, manual is fine and cheaper. For larger boa"
wp-content/themes/reyco-marine/inc/category-configs/docks-and-lifts--r-j-machine.php,99,finalize,finalise,N,REPLACE,"<p>If you are planning a new cottage build, upgrading an old crib dock, or adding a lift for a new boat, reach out. We c"
wp-content/themes/reyco-marine/inc/category-configs/docks-and-lifts.php,18,authorized,authorised,N,REPLACE,'body'     => '<p>Waterfront property owners across Northern Ontario have one thing in common. The right dock and lift s
wp-content/themes/reyco-marine/inc/category-configs/docks-and-lifts.php,114,finalize,finalise,N,REPLACE,"['q' => 'How do I get a dock or lift installed?', 'a' => 'Contact us with your property address and a description of the"
wp-content/themes/reyco-marine/inc/category-configs/lawn-garden--cub-cadet.php,95,authorized,authorised,N,REPLACE,"['q' => 'What warranty comes with a new Cub Cadet?', 'a' => 'New Cub Cadet residential equipment typically comes with a "
wp-content/themes/reyco-marine/inc/category-configs/lawn-garden--hedge-trimmers.php,21,realize,realise,N,REPLACE,'quote' => 'Extended-reach matters more than most people realize. A shafted SHC or articulating HCA means you\'re not cl
wp-content/themes/reyco-marine/inc/category-configs/lawn-garden--toro.php,94,authorized,authorised,N,REPLACE,"['q' => 'What kind of warranty does Toro offer?', 'a' => 'Most residential Toro mowers come with a two to three year ful"
wp-content/themes/reyco-marine/inc/category-configs/lawn-garden--trimmers.php,35,minimize,minimise,N,REPLACE,'description'   => 'The Echo GT-225 curved-shaft is a solid homeowner trimmer for smaller lots. The SRM-2320 and SRM-266
wp-content/themes/reyco-marine/inc/category-configs/lawn-garden--trimmers.php,53,minimize,minimise,N,REPLACE,"'description'   => 'The Echo PAS-225 and PAS-2620 powerheads accept snap-on attachments — trimmer, edger, cultivator, he"
wp-content/themes/reyco-marine/inc/category-configs/lawn-garden--zero-turn.php,19,prioritize,prioritise,N,REPLACE,"<p>Buying a zero-turn from a dealer means your machine is assembled by our technicians, not unboxed in a parking lot. We"
wp-content/themes/reyco-marine/inc/category-configs/motors.php,18,authorized,authorised,N,REPLACE,"<p>We are an authorized Mercury dealer, which means factory-direct pricing, full <a href=""/service/warranty/"">warranty c"
wp-content/themes/reyco-marine/inc/category-configs/powersports--cub-cadet-utv.php,39,authorized,authorised,N,REPLACE,"['icon'=>'handyman','title'=>'Reyco Services Both','description'=>'We\'re authorized for Cub Cadet and Hisun. Warranty a"
wp-content/themes/reyco-marine/inc/category-configs/powersports--cub-cadet-utv.php,50,authorized,authorised,N,REPLACE,"['q'=>'Warranty?','a'=>'Warranted through Cub Cadet\'s powersports warranty program. Reyco handles warranty repairs in-h"
wp-content/themes/reyco-marine/inc/category-configs/powersports--easy-go.php,17,recognized,recognised,N,REPLACE,'body'     => '<p>E-Z-GO has been building golf carts and personal utility vehicles since 1954 — and their engineering s
wp-content/themes/reyco-marine/inc/category-configs/powersports--easy-go.php,26,specialized,specialised,N,REPLACE,"'quote'       => 'We added E-Z-GO because the customers were asking. Hunt camps, cottage properties, acreages — people w"
wp-content/themes/reyco-marine/inc/category-configs/powersports--easy-go.php,63,specialized,specialised,N,REPLACE,'description' => 'Genuine E-Z-GO parts and warranty handling done right here in Sault Ste. Marie — no shipping to a spec
wp-content/themes/reyco-marine/inc/category-configs/powersports--hisun.php,10,authorized,authorised,N,REPLACE,"'subtitle' => 'Your authorized Hisun dealer in Sault Ste. Marie. Sport, utility, crew, youth, and electric models, servi"
wp-content/themes/reyco-marine/inc/category-configs/powersports--hisun.php,116,recognize,recognise,N,REPLACE,"['q' => 'Is Hisun a reliable brand?', 'a' => 'Hisun has been in the market for over two decades and supplies OEM manufac"
wp-content/themes/reyco-marine/inc/category-configs/powersports--hisun.php,117,authorized,authorised,N,REPLACE,"['q' => 'Do Hisun machines come with factory warranty?', 'a' => 'Yes. Every new Hisun carries a manufacturer warranty, a"
wp-content/themes/reyco-marine/inc/category-configs/powersports--hs-series.php,55,authorized,authorised,N,REPLACE,"['q'=>'Warranty?','a'=>'Manufacturer warranty on every new HS. Reyco handles warranty repairs directly as the authorized"
wp-content/themes/reyco-marine/inc/category-configs/powersports--stryker.php,18,authorized,authorised,N,REPLACE,"<p>Reyco is the authorized Hisun dealer for the Algoma District. Delivery, <a href=""/service/"">service</a>, parts stocki"
wp-content/themes/reyco-marine/inc/category-configs/powersports--stryker.php,63,authorized,authorised,N,REPLACE,"['q'=>'Does Stryker come with a warranty?','a'=>'Yes. Manufacturer warranty on every new Hisun unit. Reyco handles warra"
wp-content/themes/reyco-marine/inc/category-configs/powersports.php,18,authorized,authorised,N,REPLACE,"'body'     => '<p>Whether you are hauling gear to camp, plowing your property, working a trapline, or hitting the OFATV "
wp-content/themes/reyco-marine/inc/category-configs/snow-equipment--cub-cadet.php,73,prioritize,prioritise,N,REPLACE,"'description' => 'When your blower breaks down mid-winter, we prioritize the repair. We understand what it means to be w"
wp-content/themes/reyco-marine/inc/category-configs/snow-equipment--single-stage.php,87,minimize,minimise,N,REPLACE,"['q' => 'Can I use a single-stage blower on gravel?', 'a' => 'Yes, with caution. The rubber paddles contact the ground s"
wp-content/themes/reyco-marine/inc/category-configs/snow-equipment--snow-plows.php,94,specializes,specialises,N,REPLACE,"['q' => 'What is Bercomac?', 'a' => 'Bercomac is a Canadian manufacturer based in Quebec that specializes in snow remova"
wp-content/themes/reyco-marine/inc/category-configs/snow-equipment--snow-plows.php,95,minimizes,minimises,N,REPLACE,"['q' => 'Can I plow a gravel driveway without tearing it up?', 'a' => 'Yes, with proper setup. We adjust the skid shoes "
wp-content/themes/reyco-marine/inc/category-configs/snow-equipment--toro.php,19,prioritize,prioritise,N,REPLACE,"<p>Every Toro snowblower we sell is assembled, inspected, and test-run by our technicians. We adjust the scraper bar, ch"
wp-content/themes/reyco-marine/inc/category-configs/snow-equipment--toro.php,78,authorized,authorised,N,REPLACE,"'description' => 'As an authorized dealer, we handle warranty claims locally. No shipping your blower away or waiting fo"
wp-content/themes/reyco-marine/inc/security-hardening.php,37,sanitized,sanitised,N,REPLACE,$file['error'] = 'SVG file could not be sanitized. Please use a different image format.';
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,103,authorized,authorised,N,REPLACE,<p>Reyco Marine carries the Troy-Bilt authorized dealer line for this region. Contact our service team for current floor
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,144,authorized,authorised,N,REPLACE,"<p>As an authorized Troy-Bilt dealer, Reyco Marine carries parts and handles service for the equipment we sell. If you a"
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,349,authorized,authorised,N,REPLACE,'post_excerpt' => 'Reyco Marine is an authorized Mercury Marine dealer. This post covers the outboard buying decision fo
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,355,authorized,authorised,N,REPLACE,"<p>At Reyco Marine, we are an authorized Mercury Marine dealer. We have been fitting Mercury outboards to Northern Ontar"
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,355,realize,realise,N,REPLACE,"<p>At Reyco Marine, we are an authorized Mercury Marine dealer. We have been fitting Mercury outboards to Northern Ontar"
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,410,authorized,authorised,N,REPLACE,"<p>Mercury outboard motors are available through private sales, online retailers, and grey-market channels. The purchase"
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,412,authorized,authorised,N,REPLACE,<p>Here is what changes when you buy outside the authorized network:</p>
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,414,authorized,authorised,N,REPLACE,<p><strong>Warranty.</strong> Mercury's best warranty coverage — the 3-plus-3 FourStroke warranty (three years factory p
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,436,authorized,authorised,N,REPLACE,<p>Reyco Marine is an authorized Mercury Marine dealer at 11 White Oak Drive East in Sault Ste. Marie. We are open Monda
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,451,authorized,authorised,N,REPLACE,'meta_desc'   => 'Princecraft fishing boats at Reyco Marine — authorized Princecraft dealer in Sault Ste. Marie. Alumini
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,452,authorized,authorised,N,REPLACE,'post_excerpt' => 'Reyco Marine is the only authorized Princecraft dealer in the Sault Ste. Marie area. This post covers
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,458,authorized,authorised,N,REPLACE,"<p>At Reyco Marine, we are the only authorized Princecraft dealer in the Sault Ste. Marie area. We have been fitting Pri"
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,488,authorized,authorised,N,REPLACE,<p>Princecraft also backs their hulls with a limited lifetime warranty. For a boat that is going to see a decade or more
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,516,optimized,optimised,N,REPLACE,<p>The Sport 172 is balanced and optimized for the 115 hp class. Putting a smaller motor on it means leaving performance
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,540,authorized,authorised,N,REPLACE,"<p>Princecraft boats are also available used, through private sales, and occasionally through sellers outside the author"
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,542,authorized,authorised,N,REPLACE,<p>Here is what changes when you buy from an authorized dealer like Reyco:</p>
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,544,authorized,authorised,N,REPLACE,<p><strong>Warranty.</strong> Princecraft's limited lifetime hull warranty requires authorized dealer purchase. A boat p
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,546,authorized,authorised,N,REPLACE,"<p><strong>Factory support.</strong> As an authorized Princecraft dealer, we receive product updates, service bulletins,"
wp-content/themes/reyco-marine/inc/seed-posts-brand-authority.php,568,authorized,authorised,N,REPLACE,<p>Reyco Marine is the only authorized Princecraft dealer in the Sault Ste. Marie area. We are at 11 White Oak Drive Eas
wp-content/themes/reyco-marine/inc/seed-posts-supporting-1.php,166,maximizes,maximises,N,REPLACE,<p>A dedicated fishing boat is designed from the keel up for catching fish. The hull cuts through chop better. The layou
wp-content/themes/reyco-marine/inc/seed-posts-supporting-2.php,44,authorized,authorised,N,REPLACE,<p>This one burns people every spring and it drives me nuts. Manufacturer warranties on outdoor power equipment often re
wp-content/themes/reyco-marine/inc/seed-posts-supporting-2.php,52,authorized,authorised,N,REPLACE,"<p>This is the part that kills me. Every April, we get a flood of people in our <a href=""/service/small-engine/"">small e"
wp-content/themes/reyco-marine/inc/seed-posts-supporting-3.php,241,realize,realise,N,REPLACE,"<p>If you are a first-time buyer, do not be intimidated. Half the people at a boat show are in the same position. We lov"
wp-content/themes/reyco-marine/inc/seed-posts-supporting-3.php,292,recognized,recognised,N,REPLACE,<p>First place went to a couple of local guys I recognized from the shop. They pulled a 38-inch pike just upstream of th
wp-content/themes/reyco-marine/inc/seed-posts-supporting-3.php,355,authorized,authorised,N,REPLACE,<p>The Sault sits on three of the best fishing waterways in Ontario. The St. Marys River. Lake Huron. Lake Superior. We 
wp-content/themes/reyco-marine/inc/seed-posts-supporting-3.php,424,realize,realise,N,REPLACE,<p>I had a customer last year do the math and realize he was paying about two hundred dollars per trip when he only went
wp-content/themes/reyco-marine/inc/seed-posts-supporting-4.php,270,realize,realise,N,REPLACE,<p>Tackle boxes. Rods rigged and ready. Cooler with ice. Safety gear checked and stowed. Landing net. Pliers and a knife
wp-content/themes/reyco-marine/inc/seed-posts-supporting-4.php,345,reorganized,reorganised,N,REPLACE,"<p>On slow days I cleaned shelves, reorganized inventory, and put parts back where they actually belonged instead of whe"
wp-content/themes/reyco-marine/inc/seed-products-bercomac.php,31,authorized,authorised,N,REPLACE,'content'=>'<p>Bercomac snowblowers for lawn and garden tractors turn your existing tractor into a serious winter machin
wp-content/themes/reyco-marine/inc/seed-products-catalogue.php,397,prioritize,prioritise,N,REPLACE,"'review'=>'Lift-Up is the choice for owners who prioritize winter-storage simplicity. Ice damage goes away.' ],"
wp-content/themes/reyco-marine/inc/seed-products-cub-cadet.php,60,prioritize,prioritise,N,REPLACE,'content'=>'<p>The Cub Cadet Pro Z 900 S Series pairs the flagship Pro Z 900 power and deck with steering wheel controls
wp-content/themes/reyco-marine/inc/seed-products-mercury.php,145,optimized,optimised,N,REPLACE,'content'  => '<p>The Mercury 75 Pro XS is tuned for serious fishing performance. Aggressive power curves optimized for 
wp-content/themes/reyco-marine/inc/seed-products.php,119,authorized,authorised,N,REPLACE,"'content'   => ""<p>The Mercury 115 FourStroke is one of the most popular outboard motors in Northern Ontario for good re"
wp-content/themes/reyco-marine/inc/seed-products.php,177,authorized,authorised,N,REPLACE,"'content'   => ""<p>The STIHL MS 271 Farm Boss is the chainsaw that Northern Ontario homeowners, farmers, and woodlot own"
wp-content/themes/reyco-marine/page-templates/motors-mercury.php,17,authorized,authorised,N,REPLACE,<p>Mercury Marine has been building outboard motors since 1939 &mdash; and they&rsquo;re the engine behind more boats on
